50,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-07 11:50:00,1
2019-08-07 11:51:00,1
2019-08-07 11:52:00,2
2019-08-07 11:53:00,1
2019-08-07 11:54:00,1
2019-08-07 11:55:00,2
2019-08-07 11:56:00,1
2019-08-07 11:57:00,1
2019-08-07 11:58:00,1
2019-08-07 11:59:00,2
2019-08-07 12:00:00,1
2019-08-07 12:01:00,2
2019-08-07 12:02:00,1
2019-08-07 12:03:00,1
2019-08-07 12:04:00,2
2019-08-07 12:05:00,1
2019-08-07 12:06:00,1
2019-08-07 12:07:00,2
2019-08-07 12:08:00,1
2019-08-07 12:09:00,1
2019-08-07 12:10:00,2
2019-08-07 12:11:00,1
2019-08-07 12:12:00,1
2019-08-07 12:13:00,2
2019-08-07 12:14:00,1
2019-08-07 12:15:00,2
2019-08-07 12:16:00,1
2019-08-07 12:17:00,2
2019-08-07 12:18:00,1
2019-08-07 12:19:00,2
2019-08-07 12:20:00,1
2019-08-07 12:21:00,1
2019-08-07 12:22:00,1
2019-08-07 12:23:00,2
2019-08-07 12:24:00,1
2019-08-07 12:25:00,2
2019-08-07 12:26:00,1
