13,"SELECT up_id,  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) as SpecobjId   FROM #upload  WHERE  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   s.ra,s.dec,s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN #x AS x ON x.SpecobjID=s.SpecobjID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  s.zWarning = #   ORDER BY x.up_id"
2019-08-07 14:34:00,1
2019-08-07 14:35:00,2
2019-08-07 14:36:00,1
2019-08-07 14:37:00,1
2019-08-07 14:38:00,1
2019-08-07 14:39:00,1
2019-08-07 14:40:00,1
2019-08-07 14:42:00,1
2019-08-07 14:45:00,1
2019-08-07 14:47:00,1
2019-08-07 14:48:00,1
2019-08-07 14:49:00,1
