236,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-07 01:16:00,1
2019-08-07 01:17:00,2
2019-08-07 01:26:00,1
2019-08-07 01:31:00,1
2019-08-07 01:57:00,2
2019-08-07 01:58:00,1
2019-08-07 02:11:00,1
2019-08-07 04:56:00,3
2019-08-07 04:59:00,1
2019-08-07 05:01:00,1
2019-08-07 05:02:00,3
2019-08-07 05:07:00,1
2019-08-07 05:56:00,8
2019-08-07 05:57:00,2
2019-08-07 05:58:00,1
2019-08-07 06:01:00,2
2019-08-07 06:09:00,2
2019-08-07 06:10:00,8
2019-08-07 06:11:00,2
2019-08-07 06:14:00,2
2019-08-07 06:23:00,8
2019-08-07 06:24:00,2
2019-08-07 06:25:00,2
2019-08-07 06:27:00,2
2019-08-07 06:37:00,10
2019-08-07 06:39:00,2
2019-08-07 06:41:00,2
2019-08-07 06:50:00,8
2019-08-07 06:51:00,2
2019-08-07 06:52:00,2
2019-08-07 07:04:00,2
2019-08-07 07:05:00,8
2019-08-07 07:07:00,1
2019-08-07 07:08:00,2
2019-08-07 07:18:00,6
2019-08-07 07:19:00,4
2019-08-07 07:20:00,2
2019-08-07 07:22:00,1
2019-08-07 07:32:00,8
2019-08-07 07:33:00,2
2019-08-07 07:34:00,1
2019-08-07 07:36:00,2
2019-08-07 07:46:00,8
2019-08-07 07:47:00,2
2019-08-07 07:48:00,1
2019-08-07 07:51:00,2
2019-08-07 07:59:00,2
2019-08-07 08:00:00,6
2019-08-07 08:01:00,2
2019-08-07 08:02:00,2
2019-08-07 08:04:00,2
2019-08-07 08:12:00,5
2019-08-07 08:14:00,1
2019-08-07 08:26:00,2
2019-08-07 08:27:00,8
2019-08-07 08:28:00,2
2019-08-07 08:30:00,2
2019-08-07 09:41:00,4
2019-08-07 09:42:00,4
2019-08-07 09:43:00,2
2019-08-07 09:45:00,2
2019-08-07 09:48:00,2
2019-08-07 10:02:00,2
2019-08-07 10:03:00,2
2019-08-07 10:04:00,4
2019-08-07 10:05:00,4
2019-08-07 10:09:00,2
2019-08-07 10:22:00,2
2019-08-07 10:23:00,4
2019-08-07 10:24:00,4
2019-08-07 10:26:00,2
2019-08-07 10:28:00,2
2019-08-07 10:42:00,4
2019-08-07 10:43:00,3
2019-08-07 10:44:00,2
2019-08-07 10:46:00,2
2019-08-07 10:49:00,2
2019-08-07 23:27:00,6
2019-08-07 23:28:00,2
2019-08-07 23:30:00,2
