117,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.specClass, s.z, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-03-03 04:03:00,2
2019-03-03 04:36:00,2
2019-03-03 04:57:00,2
2019-03-03 05:19:00,2
2019-03-03 05:35:00,2
2019-03-03 05:57:00,2
2019-03-03 08:06:00,2
2019-03-03 08:08:00,2
2019-03-03 08:23:00,2
2019-03-03 08:25:00,2
2019-03-03 08:31:00,2
2019-03-03 08:38:00,2
2019-03-03 08:39:00,2
2019-03-03 08:40:00,2
2019-03-03 08:41:00,2
2019-03-03 08:48:00,1
2019-03-03 08:49:00,1
2019-03-03 08:50:00,2
2019-03-03 08:58:00,2
2019-03-03 09:03:00,2
2019-03-03 09:07:00,1
2019-03-03 09:08:00,1
2019-03-03 09:13:00,2
2019-03-03 09:14:00,1
2019-03-03 09:15:00,1
2019-03-03 09:18:00,1
2019-03-03 09:19:00,2
2019-03-03 09:22:00,2
2019-03-03 09:24:00,1
2019-03-03 09:25:00,1
2019-03-03 09:29:00,1
2019-03-03 09:30:00,2
2019-03-03 09:32:00,3
2019-03-03 09:35:00,1
2019-03-03 09:36:00,2
2019-03-03 09:39:00,1
2019-03-03 10:40:00,2
2019-03-03 10:41:00,2
2019-03-03 10:43:00,1
2019-03-03 10:44:00,1
2019-03-03 10:49:00,1
2019-03-03 10:50:00,2
2019-03-03 10:53:00,2
2019-03-03 10:54:00,1
2019-03-03 10:57:00,3
2019-03-03 11:03:00,2
2019-03-03 11:05:00,1
2019-03-03 11:06:00,1
2019-03-03 11:11:00,1
2019-03-03 11:13:00,2
2019-03-03 11:16:00,3
2019-03-03 11:20:00,1
2019-03-03 11:21:00,2
2019-03-03 11:25:00,1
2019-03-03 11:44:00,2
2019-03-03 11:47:00,2
2019-03-03 11:53:00,1
2019-03-03 11:54:00,2
2019-03-03 11:57:00,2
2019-03-03 11:58:00,1
2019-03-03 12:01:00,3
2019-03-03 12:13:00,2
2019-03-03 12:15:00,1
2019-03-03 12:16:00,1
2019-03-03 12:21:00,1
2019-03-03 12:23:00,2
2019-03-03 12:26:00,2
2019-03-03 12:27:00,1
2019-03-03 12:30:00,3
2019-03-03 12:34:00,1
