114,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-03 04:13:00,5
2019-03-03 04:14:00,1
2019-03-03 04:15:00,8
2019-03-03 04:16:00,2
2019-03-03 10:30:00,23
2019-03-03 10:52:00,10
2019-03-03 13:08:00,2
2019-03-03 13:10:00,9
2019-03-03 13:14:00,5
2019-03-03 13:47:00,1
2019-03-03 13:59:00,28
2019-03-03 14:00:00,1
2019-03-03 14:34:00,1
2019-03-03 14:44:00,2
2019-03-03 14:53:00,1
2019-03-03 16:00:00,1
2019-03-03 16:01:00,5
2019-03-03 16:29:00,1
2019-03-03 16:30:00,5
2019-03-03 16:31:00,1
2019-03-03 16:33:00,1
2019-03-03 16:58:00,1
