11,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,+#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-03 08:08:00,1
2019-03-03 08:24:00,1
2019-03-03 08:41:00,1
2019-03-03 08:50:00,1
2019-03-03 09:03:00,1
2019-03-03 09:14:00,1
2019-03-03 09:24:00,1
2019-03-03 10:43:00,1
2019-03-03 11:05:00,1
2019-03-03 11:46:00,1
2019-03-03 12:15:00,1
