30,"SELECT top # p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-03-03 08:09:00,1
2019-03-03 08:26:00,1
2019-03-03 08:42:00,1
2019-03-03 08:51:00,1
2019-03-03 09:04:00,1
2019-03-03 09:15:00,1
2019-03-03 09:25:00,1
2019-03-03 09:31:00,1
2019-03-03 09:36:00,2
2019-03-03 10:44:00,1
2019-03-03 10:53:00,1
2019-03-03 10:58:00,2
2019-03-03 11:07:00,1
2019-03-03 11:15:00,1
2019-03-03 11:21:00,2
2019-03-03 11:29:00,1
2019-03-03 11:31:00,1
2019-03-03 11:49:00,1
2019-03-03 11:57:00,1
2019-03-03 12:02:00,2
2019-03-03 12:17:00,1
2019-03-03 12:25:00,1
2019-03-03 12:31:00,2
2019-03-03 12:38:00,1
2019-03-03 12:40:00,1
