2891,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-03 01:08:00,1
2019-03-03 13:33:00,57
2019-03-03 13:44:00,98
2019-03-03 14:17:00,156
2019-03-03 14:46:00,174
2019-03-03 14:48:00,36
2019-03-03 14:49:00,147
2019-03-03 14:55:00,144
2019-03-03 15:28:00,121
2019-03-03 15:29:00,107
2019-03-03 15:42:00,68
2019-03-03 15:43:00,24
2019-03-03 16:01:00,199
2019-03-03 16:56:00,21
2019-03-03 17:08:00,39
2019-03-03 17:19:00,255
2019-03-03 17:20:00,256
2019-03-03 17:59:00,32
2019-03-03 18:00:00,196
2019-03-03 18:49:00,66
2019-03-03 18:58:00,22
2019-03-03 19:02:00,69
2019-03-03 19:49:00,178
2019-03-03 20:02:00,55
2019-03-03 20:03:00,143
2019-03-03 20:12:00,161
2019-03-03 20:13:00,42
2019-03-03 20:16:00,24
