5,"SELECT TOP # objid, ra, dec, u, g, r, j, z FROM star WHERE r BETWEEN # AND #"
2019-03-03 13:09:00,1
2019-03-03 13:17:00,2
2019-03-03 13:28:00,1
2019-03-03 13:30:00,1
