163,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and #
2019-03-03 04:13:00,1
2019-03-03 04:15:00,1
2019-03-03 04:30:00,1
2019-03-03 04:31:00,1
2019-03-03 10:32:00,4
2019-03-03 10:33:00,1
2019-03-03 13:09:00,5
2019-03-03 13:33:00,1
2019-03-03 16:01:00,1
2019-03-03 16:31:00,1
2019-03-03 17:12:00,4
2019-03-03 17:13:00,11
2019-03-03 17:14:00,7
2019-03-03 18:00:00,3
2019-03-03 18:01:00,2
2019-03-03 18:02:00,2
2019-03-03 18:03:00,2
2019-03-03 18:04:00,1
2019-03-03 18:05:00,1
2019-03-03 18:06:00,1
2019-03-03 18:07:00,1
2019-03-03 18:08:00,3
2019-03-03 18:09:00,5
2019-03-03 18:10:00,2
2019-03-03 18:11:00,2
2019-03-03 18:12:00,2
2019-03-03 18:13:00,1
2019-03-03 18:14:00,3
2019-03-03 18:15:00,4
2019-03-03 18:16:00,4
2019-03-03 18:17:00,1
2019-03-03 18:18:00,2
2019-03-03 18:19:00,5
2019-03-03 18:20:00,1
2019-03-03 18:29:00,6
2019-03-03 18:30:00,1
2019-03-03 21:27:00,8
2019-03-03 21:28:00,3
2019-03-03 21:32:00,4
2019-03-03 23:07:00,1
2019-03-03 23:15:00,7
2019-03-03 23:16:00,8
2019-03-03 23:46:00,1
2019-03-03 23:48:00,1
2019-03-03 23:49:00,1
2019-03-03 23:50:00,5
2019-03-03 23:51:00,3
2019-03-03 23:52:00,2
2019-03-03 23:53:00,3
2019-03-03 23:54:00,4
2019-03-03 23:55:00,3
2019-03-03 23:56:00,4
2019-03-03 23:57:00,4
2019-03-03 23:58:00,4
2019-03-03 23:59:00,3
