249,select * from Photoz2 where objid=#
2019-03-03 08:08:00,3
2019-03-03 08:09:00,3
2019-03-03 08:10:00,1
2019-03-03 08:25:00,5
2019-03-03 08:26:00,1
2019-03-03 08:41:00,3
2019-03-03 08:42:00,3
2019-03-03 08:43:00,1
2019-03-03 08:50:00,4
2019-03-03 08:51:00,2
2019-03-03 08:52:00,4
2019-03-03 09:03:00,4
2019-03-03 09:04:00,3
2019-03-03 09:05:00,3
2019-03-03 09:06:00,2
2019-03-03 09:07:00,5
2019-03-03 09:14:00,1
2019-03-03 09:15:00,5
2019-03-03 09:16:00,2
2019-03-03 09:17:00,2
2019-03-03 09:18:00,6
2019-03-03 09:19:00,1
2019-03-03 09:24:00,1
2019-03-03 09:25:00,4
2019-03-03 09:26:00,2
2019-03-03 09:27:00,3
2019-03-03 09:28:00,2
2019-03-03 09:29:00,5
2019-03-03 09:31:00,2
2019-03-03 09:32:00,2
2019-03-03 09:34:00,2
2019-03-03 09:36:00,1
2019-03-03 09:37:00,1
2019-03-03 09:39:00,3
2019-03-03 09:40:00,3
2019-03-03 10:43:00,2
2019-03-03 10:44:00,3
2019-03-03 10:45:00,2
2019-03-03 10:46:00,3
2019-03-03 10:47:00,2
2019-03-03 10:48:00,2
2019-03-03 10:49:00,3
2019-03-03 10:52:00,2
2019-03-03 10:53:00,2
2019-03-03 10:56:00,2
2019-03-03 10:57:00,1
2019-03-03 11:05:00,1
2019-03-03 11:06:00,4
2019-03-03 11:07:00,1
2019-03-03 11:08:00,2
2019-03-03 11:09:00,2
2019-03-03 11:10:00,2
2019-03-03 11:11:00,4
2019-03-03 11:12:00,1
2019-03-03 11:14:00,1
2019-03-03 11:15:00,2
2019-03-03 11:16:00,1
2019-03-03 11:19:00,2
2019-03-03 11:21:00,1
2019-03-03 11:23:00,1
2019-03-03 11:24:00,2
2019-03-03 11:25:00,4
2019-03-03 11:26:00,1
2019-03-03 11:27:00,2
2019-03-03 11:28:00,3
2019-03-03 11:29:00,2
2019-03-03 11:31:00,1
2019-03-03 11:32:00,2
2019-03-03 11:33:00,1
2019-03-03 11:34:00,4
2019-03-03 11:36:00,2
2019-03-03 11:37:00,4
2019-03-03 11:46:00,1
2019-03-03 11:47:00,3
2019-03-03 11:48:00,1
2019-03-03 11:49:00,2
2019-03-03 11:50:00,3
2019-03-03 11:52:00,4
2019-03-03 11:53:00,2
2019-03-03 11:54:00,1
2019-03-03 11:56:00,2
2019-03-03 11:57:00,2
2019-03-03 11:59:00,1
2019-03-03 12:00:00,1
2019-03-03 12:01:00,1
2019-03-03 12:15:00,1
2019-03-03 12:16:00,4
2019-03-03 12:18:00,2
2019-03-03 12:19:00,3
2019-03-03 12:20:00,2
2019-03-03 12:21:00,3
2019-03-03 12:22:00,2
2019-03-03 12:24:00,1
2019-03-03 12:25:00,1
2019-03-03 12:26:00,2
2019-03-03 12:28:00,1
2019-03-03 12:29:00,1
2019-03-03 12:30:00,1
2019-03-03 12:33:00,2
2019-03-03 12:34:00,4
2019-03-03 12:35:00,1
2019-03-03 12:36:00,1
2019-03-03 12:37:00,3
2019-03-03 12:38:00,4
2019-03-03 12:40:00,1
2019-03-03 12:41:00,3
2019-03-03 12:42:00,3
2019-03-03 12:43:00,2
2019-03-03 12:44:00,3
2019-03-03 12:45:00,2
