2,"SELECT TOP # g.dered_u as u , g.dered_g as g , g.dered_r as r,    g.dered_i as i, g.dered_z as z, g.mRrCc_r as size,  (g.mE1_r^# + g.mE2_r^#)^# as ellipticity, s.z as redshift FROM galaxy as g   INNER JOIN SpecObjAll as s on s.bestObjID = g.objID WHERE s.z># and s.z<#"
2019-03-03 07:12:00,1
2019-03-03 07:13:00,1
