61,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between # and #
2019-03-03 04:13:00,4
2019-03-03 04:15:00,1
2019-03-03 16:00:00,1
2019-03-03 16:30:00,1
2019-03-03 17:13:00,2
2019-03-03 17:14:00,2
2019-03-03 17:15:00,1
2019-03-03 17:16:00,1
2019-03-03 17:18:00,7
2019-03-03 17:19:00,2
2019-03-03 17:20:00,4
2019-03-03 17:21:00,2
2019-03-03 17:22:00,5
2019-03-03 17:23:00,3
2019-03-03 17:24:00,3
2019-03-03 17:25:00,4
2019-03-03 17:26:00,5
2019-03-03 17:27:00,5
2019-03-03 17:37:00,1
2019-03-03 17:38:00,1
2019-03-03 17:52:00,1
2019-03-03 17:56:00,1
2019-03-03 20:51:00,1
2019-03-03 20:52:00,1
2019-03-03 20:53:00,1
2019-03-03 21:00:00,1
