18,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec) FROM PhotoPrimary as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-03-03 04:03:00,1
2019-03-03 04:36:00,1
2019-03-03 04:57:00,1
2019-03-03 05:36:00,1
2019-03-03 05:57:00,1
2019-03-03 08:07:00,1
2019-03-03 08:24:00,1
2019-03-03 08:31:00,1
2019-03-03 08:38:00,1
2019-03-03 08:40:00,1
2019-03-03 08:49:00,1
2019-03-03 08:59:00,1
2019-03-03 09:13:00,1
2019-03-03 09:23:00,1
2019-03-03 10:41:00,1
2019-03-03 11:03:00,1
2019-03-03 11:44:00,1
2019-03-03 12:13:00,1
