2,"SELECT TOP #  p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..Star AS p  WHERE (p.g - p.r) > # AND (p.g - p.r) < #"
2019-03-03 14:58:00,1
2019-03-03 14:59:00,1
