9,"select top # galaxy.u, galaxy.g, galaxy.r, galaxy.i, galaxy.z, specObj.z from galaxy, specObj where specObj.bestObjId=galaxy.objId AND specObj.class=&&& AND specObj.z > #"
2019-03-03 21:17:00,1
2019-03-03 21:18:00,4
2019-03-03 21:19:00,4
