189,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-03-03 17:28:00,1
2019-03-03 17:29:00,2
2019-03-03 17:30:00,3
2019-03-03 17:31:00,2
2019-03-03 17:32:00,1
2019-03-03 17:33:00,2
2019-03-03 17:34:00,1
2019-03-03 17:42:00,1
2019-03-03 17:43:00,1
2019-03-03 17:44:00,3
2019-03-03 17:45:00,3
2019-03-03 17:46:00,2
2019-03-03 17:47:00,1
2019-03-03 17:48:00,1
2019-03-03 17:49:00,1
2019-03-03 17:51:00,1
2019-03-03 17:54:00,1
2019-03-03 17:55:00,1
2019-03-03 18:00:00,3
2019-03-03 18:04:00,1
2019-03-03 18:20:00,3
2019-03-03 18:22:00,4
2019-03-03 18:23:00,2
2019-03-03 18:24:00,3
2019-03-03 18:25:00,2
2019-03-03 18:26:00,2
2019-03-03 18:27:00,2
2019-03-03 18:28:00,1
2019-03-03 18:30:00,1
2019-03-03 18:31:00,1
2019-03-03 18:33:00,3
2019-03-03 18:34:00,7
2019-03-03 18:35:00,6
2019-03-03 18:36:00,7
2019-03-03 18:37:00,4
2019-03-03 18:38:00,2
2019-03-03 19:42:00,2
2019-03-03 19:43:00,1
2019-03-03 19:48:00,1
2019-03-03 19:50:00,2
2019-03-03 19:52:00,1
2019-03-03 19:53:00,1
2019-03-03 19:55:00,3
2019-03-03 19:59:00,3
2019-03-03 20:05:00,8
2019-03-03 20:06:00,5
2019-03-03 20:07:00,4
2019-03-03 20:08:00,4
2019-03-03 20:09:00,4
2019-03-03 20:10:00,6
2019-03-03 20:11:00,1
2019-03-03 21:01:00,3
2019-03-03 21:02:00,7
2019-03-03 21:03:00,2
2019-03-03 21:04:00,4
2019-03-03 21:05:00,2
2019-03-03 21:06:00,8
2019-03-03 21:07:00,4
2019-03-03 21:08:00,7
2019-03-03 21:09:00,6
2019-03-03 21:10:00,5
2019-03-03 21:11:00,6
2019-03-03 21:12:00,5
2019-03-03 21:38:00,1
2019-03-03 21:56:00,1
