94,select objid from photoobj where photoobj.dec between .# and .# and photoobj.ra between # and #
2019-03-03 10:01:00,2
2019-03-03 10:11:00,2
2019-03-03 10:29:00,1
2019-03-03 10:30:00,1
2019-03-03 13:14:00,3
2019-03-03 13:44:00,1
2019-03-03 13:58:00,4
2019-03-03 14:27:00,13
2019-03-03 14:28:00,19
2019-03-03 14:30:00,6
2019-03-03 14:32:00,9
2019-03-03 14:33:00,21
2019-03-03 14:34:00,1
2019-03-03 14:35:00,5
2019-03-03 14:37:00,1
2019-03-03 14:44:00,1
2019-03-03 14:46:00,1
2019-03-03 16:18:00,1
2019-03-03 16:29:00,1
2019-03-03 23:15:00,1
