4,"SELECT str(p.ra,#,#) as ra,str(p.[dec],#,#) as dec,p.u,p.g,p.r,p.i,p.z, &&& as filter FROM dbo.fGetObjFromRect(#,#,#,#) b, BESTDR3..PhotoObj as p WHERE ( p.type = # OR p.type = #) AND p.objID=b.objID"
2019-03-03 11:26:00,2
2019-03-03 12:35:00,2
