77,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z, p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-03-03 08:09:00,2
2019-03-03 08:10:00,1
2019-03-03 08:25:00,1
2019-03-03 08:26:00,1
2019-03-03 08:42:00,2
2019-03-03 08:43:00,1
2019-03-03 08:51:00,2
2019-03-03 08:52:00,1
2019-03-03 09:03:00,1
2019-03-03 09:04:00,1
2019-03-03 09:05:00,1
2019-03-03 09:07:00,1
2019-03-03 09:08:00,1
2019-03-03 09:15:00,2
2019-03-03 09:16:00,1
2019-03-03 09:18:00,1
2019-03-03 09:19:00,1
2019-03-03 09:25:00,1
2019-03-03 09:26:00,2
2019-03-03 09:29:00,1
2019-03-03 09:30:00,1
2019-03-03 09:31:00,1
2019-03-03 09:34:00,1
2019-03-03 09:36:00,1
2019-03-03 09:39:00,2
2019-03-03 10:44:00,2
2019-03-03 10:45:00,1
2019-03-03 10:49:00,1
2019-03-03 10:50:00,1
2019-03-03 10:52:00,1
2019-03-03 10:56:00,1
2019-03-03 10:58:00,1
2019-03-03 11:06:00,1
2019-03-03 11:07:00,1
2019-03-03 11:08:00,1
2019-03-03 11:11:00,1
2019-03-03 11:12:00,1
2019-03-03 11:15:00,1
2019-03-03 11:19:00,1
2019-03-03 11:21:00,1
2019-03-03 11:24:00,2
2019-03-03 11:28:00,2
2019-03-03 11:32:00,2
2019-03-03 11:34:00,1
2019-03-03 11:47:00,1
2019-03-03 11:49:00,1
2019-03-03 11:50:00,1
2019-03-03 11:53:00,1
2019-03-03 11:54:00,1
2019-03-03 11:56:00,1
2019-03-03 12:00:00,1
2019-03-03 12:02:00,1
2019-03-03 12:16:00,1
2019-03-03 12:17:00,1
2019-03-03 12:18:00,1
2019-03-03 12:21:00,1
2019-03-03 12:22:00,1
2019-03-03 12:25:00,1
2019-03-03 12:28:00,1
2019-03-03 12:31:00,1
2019-03-03 12:33:00,1
2019-03-03 12:34:00,1
2019-03-03 12:37:00,2
2019-03-03 12:40:00,1
2019-03-03 12:41:00,1
2019-03-03 12:42:00,1
