22,"SELECT TOP # p.run,p.rerun,p.camCol,p.field,p.obj, &&& as filter FROM dbo.fGetObjFromRect(#,#,#,#) b, BESTDR4..PhotoObj as p WHERE ( p.type = # OR p.type = #) AND p.objID=b.objID"
2019-03-03 08:08:00,1
2019-03-03 08:09:00,1
2019-03-03 08:25:00,1
2019-03-03 08:26:00,1
2019-03-03 08:41:00,1
2019-03-03 08:42:00,1
2019-03-03 08:50:00,1
2019-03-03 08:51:00,1
2019-03-03 09:03:00,1
2019-03-03 09:04:00,1
2019-03-03 09:15:00,2
2019-03-03 09:24:00,1
2019-03-03 09:25:00,1
2019-03-03 10:43:00,1
2019-03-03 10:44:00,1
2019-03-03 11:05:00,1
2019-03-03 11:07:00,1
2019-03-03 11:47:00,1
2019-03-03 11:48:00,1
2019-03-03 12:15:00,1
2019-03-03 12:17:00,1
