63,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n where p.objId=n.objId"
2019-03-03 08:07:00,1
2019-03-03 08:24:00,1
2019-03-03 08:40:00,1
2019-03-03 08:49:00,1
2019-03-03 09:02:00,1
2019-03-03 09:05:00,1
2019-03-03 09:14:00,1
2019-03-03 09:17:00,1
2019-03-03 09:20:00,2
2019-03-03 09:23:00,1
2019-03-03 09:27:00,1
2019-03-03 09:30:00,2
2019-03-03 09:31:00,1
2019-03-03 09:35:00,1
2019-03-03 09:36:00,1
2019-03-03 09:37:00,1
2019-03-03 09:39:00,1
2019-03-03 10:42:00,1
2019-03-03 10:46:00,1
2019-03-03 10:51:00,2
2019-03-03 10:52:00,1
2019-03-03 10:56:00,1
2019-03-03 10:57:00,1
2019-03-03 11:04:00,1
2019-03-03 11:09:00,1
2019-03-03 11:13:00,1
2019-03-03 11:14:00,1
2019-03-03 11:15:00,1
2019-03-03 11:19:00,1
2019-03-03 11:21:00,1
2019-03-03 11:23:00,1
2019-03-03 11:24:00,1
2019-03-03 11:26:00,1
2019-03-03 11:27:00,1
2019-03-03 11:29:00,2
2019-03-03 11:30:00,1
2019-03-03 11:32:00,1
2019-03-03 11:46:00,1
2019-03-03 11:51:00,1
2019-03-03 11:55:00,2
2019-03-03 11:57:00,1
2019-03-03 12:00:00,1
2019-03-03 12:01:00,1
2019-03-03 12:14:00,1
2019-03-03 12:19:00,1
2019-03-03 12:23:00,1
2019-03-03 12:24:00,1
2019-03-03 12:25:00,1
2019-03-03 12:29:00,1
2019-03-03 12:30:00,1
2019-03-03 12:32:00,1
2019-03-03 12:33:00,1
2019-03-03 12:36:00,2
2019-03-03 12:38:00,2
2019-03-03 12:39:00,1
2019-03-03 12:41:00,1
