75,"SELECT top # p.objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z, p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-03-03 04:03:00,1
2019-03-03 04:36:00,1
2019-03-03 04:58:00,1
2019-03-03 05:36:00,1
2019-03-03 08:07:00,3
2019-03-03 08:09:00,1
2019-03-03 08:24:00,3
2019-03-03 08:25:00,1
2019-03-03 08:31:00,1
2019-03-03 08:38:00,1
2019-03-03 08:40:00,2
2019-03-03 08:41:00,1
2019-03-03 08:42:00,1
2019-03-03 08:49:00,2
2019-03-03 08:50:00,1
2019-03-03 08:51:00,1
2019-03-03 09:00:00,1
2019-03-03 09:02:00,2
2019-03-03 09:03:00,1
2019-03-03 09:06:00,1
2019-03-03 09:07:00,1
2019-03-03 09:14:00,3
2019-03-03 09:15:00,1
2019-03-03 09:18:00,2
2019-03-03 09:20:00,1
2019-03-03 09:23:00,3
2019-03-03 09:25:00,1
2019-03-03 09:28:00,1
2019-03-03 09:29:00,1
2019-03-03 09:30:00,1
2019-03-03 09:33:00,1
2019-03-03 10:41:00,1
2019-03-03 10:42:00,2
2019-03-03 10:44:00,1
2019-03-03 10:47:00,1
2019-03-03 10:48:00,1
2019-03-03 10:51:00,1
2019-03-03 10:54:00,1
2019-03-03 11:04:00,3
2019-03-03 11:06:00,1
2019-03-03 11:10:00,1
2019-03-03 11:11:00,1
2019-03-03 11:14:00,1
2019-03-03 11:17:00,1
2019-03-03 11:45:00,2
2019-03-03 11:46:00,1
2019-03-03 11:47:00,1
2019-03-03 11:52:00,1
2019-03-03 11:53:00,1
2019-03-03 11:55:00,1
2019-03-03 11:59:00,1
2019-03-03 12:14:00,3
2019-03-03 12:16:00,1
2019-03-03 12:20:00,1
2019-03-03 12:21:00,1
2019-03-03 12:24:00,1
2019-03-03 12:27:00,1
