42,select * from weblogall2#_#_to_# where mm = # and dd = #
2019-05-21 09:17:00,2
2019-05-21 09:18:00,3
2019-05-21 09:19:00,1
2019-05-21 09:20:00,2
2019-05-21 09:21:00,2
2019-05-21 09:22:00,1
2019-05-21 09:26:00,2
2019-05-21 09:27:00,3
2019-05-21 09:28:00,1
2019-05-21 09:29:00,2
2019-05-21 09:30:00,2
2019-05-21 10:13:00,1
2019-05-21 10:17:00,2
2019-05-21 10:18:00,2
2019-05-21 10:32:00,3
2019-05-21 10:33:00,2
2019-05-21 10:34:00,1
2019-05-21 10:38:00,2
2019-05-21 10:39:00,2
2019-05-21 10:40:00,1
2019-05-21 10:51:00,3
2019-05-21 10:52:00,2
