2843,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-05-21 02:59:00,2
2019-05-21 03:00:00,2
2019-05-21 03:01:00,2
2019-05-21 03:02:00,3
2019-05-21 03:03:00,2
2019-05-21 03:04:00,1
2019-05-21 03:05:00,3
2019-05-21 03:06:00,2
2019-05-21 03:07:00,2
2019-05-21 03:08:00,3
2019-05-21 03:09:00,2
2019-05-21 03:10:00,1
2019-05-21 03:11:00,2
2019-05-21 03:12:00,3
2019-05-21 03:13:00,3
2019-05-21 03:14:00,3
2019-05-21 03:15:00,2
2019-05-21 03:16:00,3
2019-05-21 03:17:00,3
2019-05-21 03:18:00,2
2019-05-21 03:19:00,3
2019-05-21 03:20:00,3
2019-05-21 03:21:00,2
2019-05-21 03:22:00,3
2019-05-21 03:23:00,3
2019-05-21 03:24:00,3
2019-05-21 03:25:00,2
2019-05-21 03:26:00,1
2019-05-21 03:27:00,1
2019-05-21 03:28:00,2
2019-05-21 03:29:00,3
2019-05-21 03:30:00,3
2019-05-21 03:31:00,2
2019-05-21 03:32:00,2
2019-05-21 03:33:00,3
2019-05-21 03:34:00,2
2019-05-21 03:35:00,3
2019-05-21 03:36:00,1
2019-05-21 03:37:00,2
2019-05-21 03:38:00,3
2019-05-21 03:39:00,2
2019-05-21 03:40:00,2
2019-05-21 03:41:00,1
2019-05-21 03:42:00,1
2019-05-21 03:44:00,1
2019-05-21 03:45:00,2
2019-05-21 03:46:00,2
2019-05-21 03:47:00,3
2019-05-21 03:48:00,3
2019-05-21 03:49:00,2
2019-05-21 03:50:00,3
2019-05-21 03:51:00,3
2019-05-21 03:52:00,3
2019-05-21 03:53:00,1
2019-05-21 03:54:00,2
2019-05-21 03:55:00,3
2019-05-21 03:56:00,3
2019-05-21 03:57:00,2
2019-05-21 03:58:00,2
2019-05-21 03:59:00,2
2019-05-21 04:00:00,2
2019-05-21 04:01:00,3
2019-05-21 04:02:00,1
2019-05-21 04:03:00,2
2019-05-21 04:04:00,3
2019-05-21 04:05:00,2
2019-05-21 04:06:00,3
2019-05-21 04:07:00,3
2019-05-21 04:08:00,1
2019-05-21 04:09:00,3
2019-05-21 04:10:00,3
2019-05-21 04:11:00,3
2019-05-21 04:12:00,2
2019-05-21 04:13:00,3
2019-05-21 04:14:00,2
2019-05-21 04:15:00,2
2019-05-21 04:16:00,3
2019-05-21 04:17:00,3
2019-05-21 04:18:00,2
2019-05-21 04:19:00,3
2019-05-21 04:20:00,3
2019-05-21 04:21:00,3
2019-05-21 04:22:00,2
2019-05-21 04:23:00,3
2019-05-21 04:24:00,2
2019-05-21 04:25:00,3
2019-05-21 04:26:00,2
2019-05-21 04:27:00,2
2019-05-21 04:28:00,3
2019-05-21 04:29:00,2
2019-05-21 04:30:00,3
2019-05-21 04:31:00,2
2019-05-21 04:32:00,2
2019-05-21 04:33:00,3
2019-05-21 04:34:00,3
2019-05-21 04:35:00,3
2019-05-21 04:36:00,2
2019-05-21 04:37:00,3
2019-05-21 04:38:00,3
2019-05-21 04:39:00,3
2019-05-21 04:40:00,2
2019-05-21 04:41:00,3
2019-05-21 04:42:00,2
2019-05-21 04:43:00,1
2019-05-21 04:44:00,3
2019-05-21 04:45:00,1
2019-05-21 04:46:00,2
2019-05-21 04:47:00,2
2019-05-21 04:48:00,2
2019-05-21 04:50:00,1
2019-05-21 04:51:00,3
2019-05-21 04:52:00,2
2019-05-21 04:53:00,3
2019-05-21 04:54:00,1
2019-05-21 05:03:00,1
2019-05-21 05:04:00,2
2019-05-21 05:05:00,3
2019-05-21 05:06:00,2
2019-05-21 05:07:00,3
2019-05-21 05:08:00,3
2019-05-21 05:09:00,2
2019-05-21 05:10:00,2
2019-05-21 05:11:00,3
2019-05-21 05:12:00,2
2019-05-21 05:13:00,3
2019-05-21 05:14:00,2
2019-05-21 05:15:00,3
2019-05-21 05:16:00,2
2019-05-21 05:17:00,3
2019-05-21 05:18:00,2
2019-05-21 05:19:00,3
2019-05-21 05:20:00,2
2019-05-21 05:21:00,3
2019-05-21 05:22:00,3
2019-05-21 05:23:00,3
2019-05-21 05:24:00,2
2019-05-21 05:25:00,2
2019-05-21 05:26:00,2
2019-05-21 05:27:00,3
2019-05-21 05:28:00,2
2019-05-21 05:29:00,3
2019-05-21 05:30:00,3
2019-05-21 05:31:00,2
2019-05-21 05:32:00,2
2019-05-21 05:33:00,3
2019-05-21 05:34:00,2
2019-05-21 05:35:00,3
2019-05-21 05:36:00,3
2019-05-21 05:37:00,2
2019-05-21 05:38:00,3
2019-05-21 05:39:00,3
2019-05-21 05:40:00,2
2019-05-21 05:41:00,2
2019-05-21 05:42:00,3
2019-05-21 05:43:00,3
2019-05-21 05:44:00,3
2019-05-21 05:45:00,3
2019-05-21 05:46:00,2
2019-05-21 05:47:00,3
2019-05-21 05:48:00,2
2019-05-21 05:49:00,3
2019-05-21 05:50:00,2
2019-05-21 05:51:00,3
2019-05-21 05:52:00,3
2019-05-21 05:53:00,2
2019-05-21 05:54:00,3
2019-05-21 05:55:00,2
2019-05-21 05:56:00,3
2019-05-21 05:57:00,3
2019-05-21 05:58:00,2
2019-05-21 05:59:00,3
2019-05-21 06:00:00,2
2019-05-21 06:01:00,3
2019-05-21 06:02:00,3
2019-05-21 06:03:00,2
2019-05-21 06:04:00,3
2019-05-21 06:05:00,3
2019-05-21 06:06:00,2
2019-05-21 06:07:00,3
2019-05-21 06:08:00,2
2019-05-21 06:09:00,3
2019-05-21 06:10:00,3
2019-05-21 06:11:00,2
2019-05-21 06:12:00,2
2019-05-21 06:13:00,3
2019-05-21 06:14:00,2
2019-05-21 06:15:00,3
2019-05-21 06:16:00,2
2019-05-21 06:17:00,2
2019-05-21 06:18:00,3
2019-05-21 06:19:00,2
2019-05-21 06:20:00,3
2019-05-21 06:21:00,2
2019-05-21 06:22:00,3
2019-05-21 06:23:00,2
2019-05-21 06:24:00,3
2019-05-21 06:25:00,3
2019-05-21 06:26:00,3
2019-05-21 06:27:00,2
2019-05-21 06:28:00,2
2019-05-21 06:29:00,3
2019-05-21 06:30:00,3
2019-05-21 06:31:00,2
2019-05-21 06:32:00,3
2019-05-21 06:33:00,3
2019-05-21 06:34:00,2
2019-05-21 06:35:00,3
2019-05-21 06:36:00,3
2019-05-21 06:37:00,2
2019-05-21 06:38:00,3
2019-05-21 06:39:00,3
2019-05-21 06:40:00,2
2019-05-21 06:41:00,2
2019-05-21 06:42:00,3
2019-05-21 06:43:00,2
2019-05-21 06:44:00,2
2019-05-21 06:45:00,2
2019-05-21 06:46:00,2
2019-05-21 06:47:00,2
2019-05-21 06:48:00,2
2019-05-21 06:49:00,2
2019-05-21 06:50:00,2
2019-05-21 06:51:00,2
2019-05-21 06:52:00,3
2019-05-21 06:53:00,2
2019-05-21 06:54:00,3
2019-05-21 06:55:00,2
2019-05-21 06:56:00,3
2019-05-21 06:57:00,3
2019-05-21 06:58:00,2
2019-05-21 06:59:00,3
2019-05-21 07:00:00,2
2019-05-21 07:01:00,3
2019-05-21 07:02:00,3
2019-05-21 07:03:00,2
2019-05-21 07:04:00,3
2019-05-21 07:05:00,2
2019-05-21 07:06:00,3
2019-05-21 07:07:00,3
2019-05-21 07:08:00,3
2019-05-21 07:09:00,2
2019-05-21 07:10:00,3
2019-05-21 07:11:00,3
2019-05-21 07:12:00,3
2019-05-21 07:13:00,2
2019-05-21 07:14:00,2
2019-05-21 07:15:00,3
2019-05-21 07:16:00,3
2019-05-21 07:17:00,3
2019-05-21 07:18:00,2
2019-05-21 07:19:00,3
2019-05-21 07:20:00,3
2019-05-21 07:21:00,3
2019-05-21 07:22:00,2
2019-05-21 07:23:00,3
2019-05-21 07:24:00,3
2019-05-21 07:25:00,2
2019-05-21 07:26:00,3
2019-05-21 07:27:00,3
2019-05-21 07:28:00,2
2019-05-21 07:29:00,3
2019-05-21 07:30:00,2
2019-05-21 07:31:00,3
2019-05-21 07:32:00,3
