167,select * from stellarMassFSPSGranEarlyDust where specObjId=#
2019-05-21 00:07:00,1
2019-05-21 00:09:00,1
2019-05-21 00:16:00,1
2019-05-21 00:24:00,1
2019-05-21 00:42:00,1
2019-05-21 00:43:00,1
2019-05-21 00:44:00,1
2019-05-21 00:57:00,1
2019-05-21 00:58:00,1
2019-05-21 01:09:00,1
2019-05-21 01:11:00,1
2019-05-21 01:19:00,1
2019-05-21 01:21:00,1
2019-05-21 01:36:00,1
2019-05-21 01:38:00,1
2019-05-21 01:53:00,1
2019-05-21 02:13:00,1
2019-05-21 02:32:00,1
2019-05-21 02:54:00,1
2019-05-21 02:55:00,1
2019-05-21 03:13:00,1
2019-05-21 03:28:00,1
2019-05-21 03:29:00,1
2019-05-21 03:34:00,1
2019-05-21 03:35:00,1
2019-05-21 03:44:00,1
2019-05-21 03:45:00,2
2019-05-21 03:47:00,1
2019-05-21 03:51:00,1
2019-05-21 03:52:00,1
2019-05-21 03:55:00,1
2019-05-21 03:56:00,1
2019-05-21 03:59:00,1
2019-05-21 04:00:00,1
2019-05-21 04:04:00,1
2019-05-21 04:06:00,1
2019-05-21 04:08:00,1
2019-05-21 04:11:00,2
2019-05-21 04:12:00,1
2019-05-21 04:14:00,1
2019-05-21 04:16:00,1
2019-05-21 04:18:00,1
2019-05-21 04:19:00,1
2019-05-21 04:21:00,1
2019-05-21 04:24:00,1
2019-05-21 04:25:00,1
2019-05-21 04:28:00,1
2019-05-21 04:29:00,1
2019-05-21 04:31:00,1
2019-05-21 04:32:00,1
2019-05-21 04:37:00,1
2019-05-21 04:44:00,1
2019-05-21 04:50:00,1
2019-05-21 04:55:00,1
2019-05-21 04:56:00,1
2019-05-21 05:01:00,1
2019-05-21 05:02:00,1
2019-05-21 05:07:00,1
2019-05-21 05:08:00,1
2019-05-21 05:13:00,1
2019-05-21 05:14:00,1
2019-05-21 05:21:00,1
2019-05-21 05:22:00,1
2019-05-21 05:26:00,1
2019-05-21 05:27:00,1
2019-05-21 05:31:00,1
2019-05-21 05:37:00,1
2019-05-21 05:41:00,1
2019-05-21 06:03:00,1
2019-05-21 06:04:00,1
2019-05-21 06:12:00,1
2019-05-21 06:14:00,1
2019-05-21 06:20:00,1
2019-05-21 06:29:00,1
2019-05-21 06:42:00,1
2019-05-21 06:44:00,1
2019-05-21 06:53:00,1
2019-05-21 06:55:00,1
2019-05-21 06:56:00,1
2019-05-21 07:02:00,1
2019-05-21 07:04:00,1
2019-05-21 07:06:00,1
2019-05-21 07:14:00,1
2019-05-21 07:22:00,1
2019-05-21 07:23:00,1
2019-05-21 07:29:00,1
2019-05-21 07:31:00,1
2019-05-21 07:45:00,1
2019-05-21 07:47:00,1
2019-05-21 08:03:00,1
2019-05-21 08:05:00,1
2019-05-21 08:19:00,1
2019-05-21 08:20:00,1
2019-05-21 08:30:00,1
2019-05-21 08:31:00,1
2019-05-21 08:43:00,1
2019-05-21 08:45:00,1
2019-05-21 08:55:00,1
2019-05-21 08:57:00,1
2019-05-21 09:10:00,1
2019-05-21 09:11:00,1
2019-05-21 09:27:00,1
2019-05-21 09:28:00,1
2019-05-21 09:38:00,1
2019-05-21 09:52:00,1
2019-05-21 10:14:00,1
2019-05-21 10:44:00,1
2019-05-21 11:15:00,1
2019-05-21 11:17:00,1
2019-05-21 11:41:00,1
2019-05-21 12:12:00,1
2019-05-21 12:50:00,1
2019-05-21 13:14:00,1
2019-05-21 13:26:00,1
2019-05-21 13:27:00,1
2019-05-21 13:45:00,1
2019-05-21 13:47:00,1
2019-05-21 13:57:00,1
2019-05-21 14:04:00,1
2019-05-21 14:05:00,1
2019-05-21 14:12:00,1
2019-05-21 14:20:00,1
2019-05-21 14:22:00,1
2019-05-21 14:27:00,1
2019-05-21 14:28:00,1
2019-05-21 14:31:00,1
2019-05-21 14:32:00,2
2019-05-21 14:33:00,1
2019-05-21 14:34:00,1
2019-05-21 14:36:00,1
2019-05-21 14:38:00,1
2019-05-21 14:39:00,1
2019-05-21 14:41:00,1
2019-05-21 14:42:00,1
2019-05-21 14:45:00,1
2019-05-21 14:46:00,1
2019-05-21 14:48:00,1
2019-05-21 14:49:00,1
2019-05-21 14:51:00,1
2019-05-21 14:56:00,1
2019-05-21 15:02:00,1
2019-05-21 15:03:00,1
2019-05-21 15:08:00,1
2019-05-21 15:09:00,1
2019-05-21 15:12:00,1
2019-05-21 15:18:00,1
2019-05-21 15:19:00,1
2019-05-21 15:40:00,1
2019-05-21 15:47:00,1
2019-05-21 15:49:00,1
2019-05-21 15:52:00,1
2019-05-21 15:56:00,1
2019-05-21 15:57:00,1
2019-05-21 15:59:00,1
2019-05-21 16:01:00,1
2019-05-21 16:06:00,1
2019-05-21 16:07:00,2
2019-05-21 16:09:00,1
2019-05-21 16:11:00,1
2019-05-21 16:13:00,1
2019-05-21 16:58:00,1
2019-05-21 21:30:00,1
2019-05-21 22:11:00,1
