895,"SELECT DISTINCT p.objID, p.skyVersion, p.mode, p.clean, p.type, p.ra, p.dec, r, g, i, p.type_r, p.petroRad_r, p.deVRad_r, p.deVAB_r, p.deVPhi_r, p.expRad_r, p.expAB_r, p.expPhi_r, p.lnLExp_r, p.lnLDeV_r, psfMag_r, psffwhm_r, p.type_g, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expAB_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g, psffwhm_g, p.type_i, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expAB_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i, psffwhm_i FROM PhotoPrimary AS p WHERE ((p.ra between # and #) and (p.dec between # and #)) and p.clean=#"
2019-05-21 02:59:00,1
2019-05-21 03:00:00,2
2019-05-21 03:01:00,2
2019-05-21 03:02:00,3
2019-05-21 03:03:00,3
2019-05-21 03:04:00,2
2019-05-21 03:05:00,3
2019-05-21 03:06:00,2
2019-05-21 03:07:00,4
2019-05-21 03:08:00,2
2019-05-21 03:09:00,2
2019-05-21 03:10:00,3
2019-05-21 03:11:00,2
2019-05-21 03:12:00,3
2019-05-21 03:13:00,3
2019-05-21 03:14:00,3
2019-05-21 03:15:00,2
2019-05-21 03:16:00,3
2019-05-21 03:17:00,3
2019-05-21 03:18:00,2
2019-05-21 03:19:00,4
2019-05-21 03:20:00,3
2019-05-21 03:21:00,3
2019-05-21 03:22:00,2
2019-05-21 03:23:00,3
2019-05-21 03:24:00,3
2019-05-21 03:25:00,2
2019-05-21 03:26:00,1
2019-05-21 03:27:00,4
2019-05-21 03:28:00,4
2019-05-21 03:29:00,1
2019-05-21 03:30:00,3
2019-05-21 03:31:00,2
2019-05-21 03:32:00,2
2019-05-21 03:33:00,3
2019-05-21 03:34:00,3
2019-05-21 03:35:00,1
2019-05-21 03:36:00,1
2019-05-21 03:37:00,2
2019-05-21 03:38:00,3
2019-05-21 03:39:00,2
2019-05-21 03:40:00,3
2019-05-21 03:42:00,1
2019-05-21 03:43:00,1
2019-05-21 03:45:00,2
2019-05-21 03:46:00,3
2019-05-21 03:47:00,3
