521,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-21 12:31:00,19
2019-05-21 12:32:00,12
2019-05-21 12:33:00,7
2019-05-21 12:34:00,28
2019-05-21 12:36:00,14
2019-05-21 12:37:00,19
2019-05-21 12:38:00,44
2019-05-21 12:39:00,15
2019-05-21 12:41:00,6
2019-05-21 12:42:00,31
2019-05-21 12:43:00,13
2019-05-21 12:45:00,2
2019-05-21 12:46:00,52
2019-05-21 12:47:00,10
2019-05-21 12:48:00,23
2019-05-21 12:50:00,9
2019-05-21 12:51:00,28
2019-05-21 12:52:00,29
2019-05-21 12:53:00,12
2019-05-21 12:54:00,15
2019-05-21 12:56:00,2
2019-05-21 12:57:00,25
2019-05-21 12:59:00,18
2019-05-21 13:00:00,14
2019-05-21 13:01:00,12
2019-05-21 13:02:00,30
2019-05-21 13:03:00,5
2019-05-21 13:05:00,27
