28,select count(*) as thecount
2019-05-21 09:03:00,1
2019-05-21 09:05:00,1
2019-05-21 09:08:00,1
2019-05-21 09:11:00,1
2019-05-21 09:13:00,1
2019-05-21 09:23:00,1
2019-05-21 09:55:00,1
2019-05-21 09:57:00,1
2019-05-21 10:02:00,1
2019-05-21 10:07:00,1
2019-05-21 10:15:00,1
2019-05-21 10:26:00,2
2019-05-21 10:36:00,1
2019-05-21 10:44:00,1
2019-05-21 10:58:00,1
2019-05-21 11:49:00,1
2019-05-21 11:56:00,1
2019-05-21 12:03:00,1
2019-05-21 12:06:00,1
2019-05-21 12:10:00,1
2019-05-21 12:13:00,1
2019-05-21 12:19:00,1
2019-05-21 12:22:00,1
2019-05-21 12:24:00,1
2019-05-21 12:49:00,1
2019-05-21 12:54:00,1
2019-05-21 13:01:00,1
