28,select stim_filepath from image_stims
2019-05-21 12:27:00,1
2019-05-21 12:36:00,1
2019-05-21 12:41:00,1
2019-05-21 12:44:00,1
2019-05-21 12:46:00,1
2019-05-21 12:49:00,1
2019-05-21 12:53:00,1
2019-05-21 12:57:00,1
2019-05-21 13:01:00,1
2019-05-21 13:06:00,1
2019-05-21 13:08:00,1
2019-05-21 13:33:00,1
2019-05-21 13:49:00,1
2019-05-21 13:52:00,1
2019-05-21 13:54:00,1
2019-05-21 13:59:00,1
2019-05-21 14:01:00,1
2019-05-21 14:02:00,1
2019-05-21 14:04:00,1
2019-05-21 14:05:00,1
2019-05-21 14:06:00,1
2019-05-21 14:07:00,1
2019-05-21 14:08:00,1
2019-05-21 14:09:00,1
2019-05-21 14:10:00,2
2019-05-21 14:11:00,1
2019-05-21 14:12:00,1
