72,"select survey, run2d, plate,mjd, fiberID, specObjID from SpecObj where class = &&& and ra between # and # and dec between # and #"
2019-05-21 21:34:00,1
2019-05-21 21:36:00,1
2019-05-21 21:57:00,1
2019-05-21 22:02:00,1
2019-05-21 22:03:00,1
2019-05-21 22:05:00,1
2019-05-21 22:07:00,2
2019-05-21 22:08:00,1
2019-05-21 22:09:00,2
2019-05-21 22:11:00,3
2019-05-21 22:12:00,1
2019-05-21 22:13:00,3
2019-05-21 22:14:00,1
2019-05-21 22:17:00,2
2019-05-21 22:18:00,1
2019-05-21 22:20:00,3
2019-05-21 22:21:00,1
2019-05-21 22:22:00,1
2019-05-21 22:26:00,1
2019-05-21 22:29:00,1
2019-05-21 22:31:00,1
2019-05-21 22:33:00,3
2019-05-21 22:36:00,1
2019-05-21 22:37:00,1
2019-05-21 22:39:00,1
2019-05-21 22:41:00,1
2019-05-21 22:48:00,1
2019-05-21 22:50:00,1
2019-05-21 22:51:00,1
2019-05-21 22:52:00,2
2019-05-21 22:55:00,1
2019-05-21 22:56:00,1
2019-05-21 23:01:00,1
2019-05-21 23:04:00,1
2019-05-21 23:08:00,1
2019-05-21 23:09:00,1
2019-05-21 23:11:00,1
2019-05-21 23:16:00,1
2019-05-21 23:19:00,3
2019-05-21 23:22:00,1
2019-05-21 23:26:00,2
2019-05-21 23:29:00,2
2019-05-21 23:30:00,1
2019-05-21 23:31:00,1
2019-05-21 23:32:00,1
2019-05-21 23:36:00,2
2019-05-21 23:38:00,1
2019-05-21 23:43:00,1
2019-05-21 23:48:00,1
2019-05-21 23:53:00,1
2019-05-21 23:55:00,2
2019-05-21 23:56:00,1
2019-05-21 23:58:00,1
2019-05-21 23:59:00,1
