18,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-05-21 00:34:00,1
2019-05-21 04:01:00,1
2019-05-21 04:06:00,1
2019-05-21 04:11:00,1
2019-05-21 04:20:00,1
2019-05-21 04:37:00,1
2019-05-21 06:47:00,1
2019-05-21 09:38:00,1
2019-05-21 09:40:00,1
2019-05-21 09:43:00,1
2019-05-21 09:48:00,1
2019-05-21 09:57:00,1
2019-05-21 10:14:00,1
2019-05-21 11:06:00,1
2019-05-21 11:09:00,1
2019-05-21 11:14:00,1
2019-05-21 11:23:00,1
2019-05-21 11:40:00,1
