14,"SELECT TOP #   objID, ra, dec,   sqrt( power(rowv,#) + power(colv, #) ) as velocity   FROM PhotoObj   WHERE   (power(rowv,#) + power(colv, #)) > #   AND rowv != # and colv != #"
2019-05-21 01:10:00,1
2019-05-21 03:24:00,1
2019-05-21 03:26:00,1
2019-05-21 03:28:00,1
2019-05-21 03:29:00,1
2019-05-21 03:30:00,1
2019-05-21 03:34:00,1
2019-05-21 03:43:00,1
2019-05-21 04:00:00,1
2019-05-21 06:40:00,1
2019-05-21 06:46:00,1
2019-05-21 09:35:00,1
2019-05-21 09:37:00,1
2019-05-21 11:04:00,1
