19,"select yy, mm, dd, hh, mi, ss,  logID, clientIP, op, command, error, browser,  isvisible, referer, bytesOut, bytesIn, elapsed  into weblogall2#_#_#h_to_#_#h  from weblogall  where yy = # and mm between # and # and dd between # and # and hh between # and #"
2019-05-21 09:03:00,1
2019-05-21 09:05:00,1
2019-05-21 09:08:00,1
2019-05-21 09:55:00,1
2019-05-21 09:58:00,1
2019-05-21 10:02:00,1
2019-05-21 10:58:00,1
2019-05-21 11:50:00,1
2019-05-21 11:59:00,1
2019-05-21 12:03:00,1
2019-05-21 12:06:00,1
2019-05-21 12:10:00,1
2019-05-21 12:14:00,1
2019-05-21 12:20:00,1
2019-05-21 12:22:00,1
2019-05-21 12:25:00,1
2019-05-21 12:49:00,1
2019-05-21 12:56:00,1
2019-05-21 13:01:00,1
