2,"SELECT TOP # p.objid,  p.type,p.ra, p.dec, p.u,p.g,p.r,p.i,p.z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-05-21 19:59:00,1
2019-05-21 20:11:00,1
