2057,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-18 12:30:00,28
2019-10-18 12:31:00,86
2019-10-18 12:32:00,278
2019-10-18 12:33:00,156
2019-10-18 12:34:00,110
2019-10-18 12:35:00,189
2019-10-18 12:38:00,269
2019-10-18 12:40:00,54
2019-10-18 12:41:00,219
2019-10-18 12:42:00,75
2019-10-18 12:43:00,70
2019-10-18 12:44:00,6
2019-10-18 12:45:00,53
2019-10-18 12:46:00,127
2019-10-18 12:47:00,143
2019-10-18 12:48:00,7
2019-10-18 12:49:00,48
2019-10-18 12:50:00,26
2019-10-18 12:51:00,46
2019-10-18 12:52:00,67
