76,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-10-18 03:05:00,1
2019-10-18 03:09:00,1
2019-10-18 03:11:00,1
2019-10-18 03:15:00,1
2019-10-18 03:19:00,1
2019-10-18 03:21:00,1
2019-10-18 03:25:00,1
2019-10-18 03:29:00,1
2019-10-18 03:33:00,1
2019-10-18 03:37:00,1
2019-10-18 03:41:00,1
2019-10-18 03:46:00,1
2019-10-18 03:49:00,1
2019-10-18 03:54:00,1
2019-10-18 03:58:00,1
2019-10-18 04:02:00,1
2019-10-18 04:06:00,1
2019-10-18 04:10:00,1
2019-10-18 04:14:00,1
2019-10-18 04:18:00,1
2019-10-18 04:23:00,1
2019-10-18 04:27:00,1
2019-10-18 04:31:00,1
2019-10-18 04:35:00,1
2019-10-18 04:39:00,1
2019-10-18 04:47:00,1
2019-10-18 04:51:00,1
2019-10-18 04:55:00,1
2019-10-18 05:01:00,1
2019-10-18 05:07:00,1
2019-10-18 05:14:00,1
2019-10-18 05:20:00,1
2019-10-18 05:26:00,1
2019-10-18 05:33:00,1
2019-10-18 05:39:00,1
2019-10-18 05:47:00,1
2019-10-18 05:55:00,1
2019-10-18 06:01:00,1
2019-10-18 06:09:00,1
2019-10-18 06:18:00,1
2019-10-18 06:26:00,1
2019-10-18 06:34:00,1
2019-10-18 06:43:00,1
2019-10-18 06:51:00,1
2019-10-18 06:59:00,1
2019-10-18 07:07:00,1
2019-10-18 07:15:00,1
2019-10-18 07:23:00,1
2019-10-18 07:34:00,1
2019-10-18 07:44:00,1
2019-10-18 07:54:00,1
2019-10-18 08:04:00,1
2019-10-18 08:14:00,1
2019-10-18 08:24:00,1
2019-10-18 08:34:00,1
2019-10-18 08:44:00,1
2019-10-18 08:54:00,1
2019-10-18 09:05:00,1
2019-10-18 09:15:00,1
2019-10-18 09:25:00,1
2019-10-18 09:35:00,1
2019-10-18 09:48:00,1
2019-10-18 10:01:00,1
2019-10-18 10:13:00,1
2019-10-18 10:26:00,1
2019-10-18 10:41:00,1
2019-10-18 10:55:00,1
2019-10-18 11:12:00,1
2019-10-18 11:29:00,1
2019-10-18 11:47:00,1
2019-10-18 12:05:00,1
2019-10-18 12:24:00,1
2019-10-18 12:45:00,1
2019-10-18 13:05:00,1
2019-10-18 14:00:00,1
2019-10-18 16:17:00,1
