86,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-10-18 05:01:00,2
2019-10-18 05:02:00,7
2019-10-18 05:03:00,7
2019-10-18 05:04:00,8
2019-10-18 11:11:00,1
2019-10-18 11:12:00,9
2019-10-18 11:13:00,10
2019-10-18 11:14:00,9
2019-10-18 11:15:00,1
2019-10-18 11:19:00,3
2019-10-18 11:20:00,6
2019-10-18 11:21:00,6
2019-10-18 11:22:00,7
2019-10-18 18:00:00,7
2019-10-18 18:01:00,3
