42,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-07-07 00:24:00,2
2019-07-07 00:30:00,1
2019-07-07 00:34:00,1
2019-07-07 00:45:00,1
2019-07-07 01:46:00,1
2019-07-07 02:29:00,1
2019-07-07 02:30:00,1
2019-07-07 02:46:00,1
2019-07-07 03:45:00,1
2019-07-07 04:27:00,1
2019-07-07 04:28:00,1
2019-07-07 04:45:00,1
2019-07-07 05:45:00,1
2019-07-07 06:48:00,1
2019-07-07 07:45:00,1
2019-07-07 08:45:00,1
2019-07-07 09:00:00,1
2019-07-07 09:02:00,1
2019-07-07 09:47:00,1
2019-07-07 10:12:00,1
2019-07-07 10:47:00,1
2019-07-07 11:45:00,1
2019-07-07 12:03:00,1
2019-07-07 12:45:00,1
2019-07-07 13:45:00,1
2019-07-07 14:45:00,1
2019-07-07 15:45:00,1
2019-07-07 16:45:00,1
2019-07-07 17:46:00,1
2019-07-07 18:29:00,1
2019-07-07 18:45:00,1
2019-07-07 19:45:00,1
2019-07-07 20:05:00,7
2019-07-07 20:06:00,2
