46,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-07-07 00:03:00,1
2019-07-07 00:34:00,1
2019-07-07 02:51:00,1
2019-07-07 08:11:00,1
2019-07-07 08:18:00,1
2019-07-07 16:42:00,10
2019-07-07 18:50:00,5
2019-07-07 18:51:00,2
2019-07-07 18:52:00,2
2019-07-07 18:54:00,3
2019-07-07 18:59:00,1
2019-07-07 19:04:00,1
2019-07-07 19:06:00,2
2019-07-07 19:15:00,1
2019-07-07 19:16:00,1
2019-07-07 19:19:00,1
2019-07-07 20:19:00,1
2019-07-07 20:25:00,1
2019-07-07 22:47:00,1
2019-07-07 22:56:00,9
