99,select
2019-07-07 01:40:00,3
2019-07-07 02:13:00,3
2019-07-07 02:48:00,3
2019-07-07 04:10:00,1
2019-07-07 04:11:00,1
2019-07-07 06:24:00,1
2019-07-07 06:25:00,2
2019-07-07 07:38:00,2
2019-07-07 07:39:00,1
2019-07-07 08:15:00,3
2019-07-07 08:50:00,3
2019-07-07 09:29:00,3
2019-07-07 10:40:00,3
2019-07-07 11:05:00,1
2019-07-07 11:24:00,3
2019-07-07 11:50:00,3
2019-07-07 12:02:00,3
2019-07-07 12:41:00,1
2019-07-07 12:42:00,2
2019-07-07 13:07:00,3
2019-07-07 13:15:00,2
2019-07-07 13:16:00,1
2019-07-07 13:31:00,2
2019-07-07 13:32:00,1
2019-07-07 13:39:00,3
2019-07-07 13:47:00,3
2019-07-07 13:56:00,3
2019-07-07 14:01:00,3
2019-07-07 14:08:00,3
2019-07-07 14:23:00,3
2019-07-07 16:15:00,3
2019-07-07 17:17:00,3
2019-07-07 17:50:00,3
2019-07-07 18:25:00,3
2019-07-07 18:58:00,3
2019-07-07 20:38:00,3
2019-07-07 21:13:00,3
2019-07-07 21:48:00,3
2019-07-07 23:22:00,3
2019-07-07 23:52:00,1
2019-07-07 23:53:00,2
