32,select AND #=#
2019-07-07 01:40:00,1
2019-07-07 02:13:00,1
2019-07-07 02:48:00,1
2019-07-07 06:25:00,1
2019-07-07 07:38:00,1
2019-07-07 08:15:00,1
2019-07-07 08:50:00,1
2019-07-07 09:29:00,1
2019-07-07 10:40:00,1
2019-07-07 11:24:00,1
2019-07-07 11:50:00,1
2019-07-07 12:02:00,1
2019-07-07 12:42:00,1
2019-07-07 13:07:00,1
2019-07-07 13:15:00,1
2019-07-07 13:31:00,1
2019-07-07 13:39:00,1
2019-07-07 13:47:00,1
2019-07-07 13:56:00,1
2019-07-07 14:01:00,1
2019-07-07 14:08:00,1
2019-07-07 14:23:00,1
2019-07-07 16:15:00,1
2019-07-07 17:17:00,1
2019-07-07 17:50:00,1
2019-07-07 18:25:00,1
2019-07-07 18:58:00,1
2019-07-07 20:38:00,1
2019-07-07 21:13:00,1
2019-07-07 21:48:00,1
2019-07-07 23:22:00,1
2019-07-07 23:53:00,1
