27,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-04-28 00:40:00,1
2019-04-28 00:54:00,1
2019-04-28 01:11:00,1
2019-04-28 01:47:00,1
2019-04-28 03:24:00,1
2019-04-28 03:49:00,1
2019-04-28 04:36:00,1
2019-04-28 04:49:00,1
2019-04-28 04:52:00,1
2019-04-28 06:06:00,1
2019-04-28 06:33:00,1
2019-04-28 06:53:00,1
2019-04-28 07:51:00,1
2019-04-28 08:45:00,1
2019-04-28 11:59:00,1
2019-04-28 13:53:00,10
2019-04-28 16:41:00,1
2019-04-28 21:55:00,1
