2,"SELECT s.ra, s.dec, s.z, b.lgm_tot_p5#, b.sfr_tot_p5# from galSpecExtra as b   OUTER APPLY dbo.fGetNearbyObjEq(#, #, #) as n   LEFT JOIN SpecPhotoAll as s on s.objID = n.objID   AND b.specObjID = s.specObjID"
2019-04-28 04:11:00,1
2019-04-28 04:12:00,1
