52,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-03-24 05:20:00,1
2019-03-24 05:21:00,3
2019-03-24 05:22:00,3
2019-03-24 05:24:00,3
2019-03-24 05:42:00,1
2019-03-24 05:43:00,3
2019-03-24 05:45:00,3
2019-03-24 05:47:00,2
2019-03-24 05:48:00,1
2019-03-24 09:33:00,2
2019-03-24 09:34:00,4
2019-03-24 09:36:00,2
2019-03-24 09:37:00,2
2019-03-24 09:38:00,2
2019-03-24 09:41:00,2
2019-03-24 23:47:00,5
2019-03-24 23:50:00,6
2019-03-24 23:53:00,2
2019-03-24 23:55:00,3
2019-03-24 23:59:00,2
