18,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-03-24 20:31:00,1
2019-03-24 20:42:00,1
2019-03-24 20:53:00,1
2019-03-24 21:05:00,1
2019-03-24 22:02:00,1
2019-03-24 22:03:00,1
2019-03-24 22:05:00,1
2019-03-24 22:06:00,1
2019-03-24 22:08:00,1
2019-03-24 22:13:00,1
2019-03-24 22:24:00,1
2019-03-24 22:37:00,1
2019-03-24 22:50:00,1
2019-03-24 23:01:00,1
2019-03-24 23:13:00,1
2019-03-24 23:40:00,1
2019-03-24 23:46:00,1
2019-03-24 23:58:00,1
