405,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-24 12:34:00,6
2019-03-24 12:43:00,29
2019-03-24 12:44:00,38
2019-03-24 12:45:00,43
2019-03-24 12:48:00,8
2019-03-24 12:55:00,10
2019-03-24 13:01:00,8
2019-03-24 13:02:00,11
2019-03-24 13:13:00,4
2019-03-24 13:25:00,18
2019-03-24 13:26:00,28
2019-03-24 13:27:00,8
2019-03-24 13:30:00,40
2019-03-24 13:31:00,9
2019-03-24 13:32:00,12
2019-03-24 13:35:00,9
2019-03-24 13:53:00,19
2019-03-24 13:54:00,1
2019-03-24 13:57:00,7
2019-03-24 14:03:00,11
2019-03-24 14:07:00,6
2019-03-24 14:08:00,6
2019-03-24 14:09:00,25
2019-03-24 14:10:00,6
2019-03-24 14:22:00,3
2019-03-24 14:23:00,4
2019-03-24 14:28:00,10
2019-03-24 14:40:00,26
