534,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-03-24 00:09:00,42
2019-03-24 00:13:00,1
2019-03-24 00:34:00,42
2019-03-24 04:20:00,1
2019-03-24 04:38:00,1
2019-03-24 06:13:00,48
2019-03-24 08:05:00,84
2019-03-24 09:51:00,42
2019-03-24 12:02:00,42
2019-03-24 14:39:00,42
2019-03-24 15:04:00,42
2019-03-24 17:44:00,42
2019-03-24 20:36:00,18
2019-03-24 22:19:00,1
2019-03-24 22:57:00,1
2019-03-24 23:30:00,1
2019-03-24 23:36:00,42
2019-03-24 23:42:00,42
