62,select * from Photoz where objid=#
2019-03-24 00:03:00,1
2019-03-24 00:09:00,1
2019-03-24 02:24:00,1
2019-03-24 02:27:00,1
2019-03-24 02:28:00,1
2019-03-24 03:02:00,1
2019-03-24 03:16:00,1
2019-03-24 03:21:00,1
2019-03-24 03:32:00,1
2019-03-24 04:15:00,1
2019-03-24 04:23:00,1
2019-03-24 04:29:00,2
2019-03-24 05:12:00,1
2019-03-24 05:15:00,1
2019-03-24 05:48:00,1
2019-03-24 06:12:00,1
2019-03-24 07:05:00,1
2019-03-24 07:13:00,1
2019-03-24 07:28:00,1
2019-03-24 08:11:00,1
2019-03-24 08:21:00,1
2019-03-24 08:22:00,1
2019-03-24 08:34:00,1
2019-03-24 08:59:00,1
2019-03-24 09:36:00,1
2019-03-24 09:39:00,1
2019-03-24 09:43:00,1
2019-03-24 09:47:00,1
2019-03-24 10:06:00,1
2019-03-24 10:08:00,1
2019-03-24 10:11:00,1
2019-03-24 10:19:00,1
2019-03-24 11:52:00,1
2019-03-24 11:54:00,2
2019-03-24 12:00:00,1
2019-03-24 12:31:00,1
2019-03-24 13:06:00,1
2019-03-24 13:13:00,1
2019-03-24 13:33:00,1
2019-03-24 14:40:00,1
2019-03-24 15:01:00,1
2019-03-24 15:48:00,1
2019-03-24 16:02:00,1
2019-03-24 16:24:00,1
2019-03-24 17:06:00,1
2019-03-24 17:27:00,1
2019-03-24 17:28:00,1
2019-03-24 18:05:00,1
2019-03-24 18:23:00,1
2019-03-24 18:48:00,1
2019-03-24 19:32:00,1
2019-03-24 20:29:00,1
2019-03-24 21:24:00,1
2019-03-24 22:01:00,1
2019-03-24 22:17:00,1
2019-03-24 22:38:00,1
2019-03-24 22:43:00,1
2019-03-24 22:47:00,1
2019-03-24 23:06:00,1
2019-03-24 23:56:00,1
