4,"SELECT    m.id, m.ra AS ra1, m.dec AS dec1, n.objid, n.distance, o.ra AS ra2, o.dec AS dec2   into MyDB.Y1#a FROM MyDB.Yang1# AS m    CROSS APPLY dbo.fGetNearestObjEq( m.ra, m.dec, #) AS n    JOIN PhotoObj AS o ON n.objid=o.objid"
2019-05-27 10:23:00,1
2019-05-27 10:24:00,2
2019-05-27 10:26:00,1
