69,"select p.objid,type FROM PhotoPrimary AS p WHERE type=# AND p.objid = #"
2019-09-14 12:59:00,1
2019-09-14 13:11:00,1
2019-09-14 13:13:00,1
2019-09-14 13:14:00,1
2019-09-14 13:15:00,1
2019-09-14 13:16:00,1
2019-09-14 13:17:00,1
2019-09-14 13:20:00,1
2019-09-14 13:22:00,1
2019-09-14 13:23:00,1
2019-09-14 13:24:00,1
2019-09-14 13:25:00,1
2019-09-14 14:13:00,1
2019-09-14 14:14:00,1
2019-09-14 14:15:00,2
2019-09-14 14:16:00,1
2019-09-14 18:25:00,2
2019-09-14 18:27:00,1
2019-09-14 18:28:00,1
2019-09-14 18:29:00,1
2019-09-14 18:30:00,1
2019-09-14 18:33:00,1
2019-09-14 18:35:00,1
2019-09-14 18:36:00,1
2019-09-14 18:37:00,1
2019-09-14 18:38:00,1
2019-09-14 18:42:00,2
2019-09-14 18:43:00,2
2019-09-14 18:44:00,1
2019-09-14 18:49:00,1
2019-09-14 18:53:00,1
2019-09-14 18:55:00,1
2019-09-14 18:56:00,1
2019-09-14 18:57:00,1
2019-09-14 19:21:00,2
2019-09-14 19:22:00,1
2019-09-14 19:23:00,1
2019-09-14 19:25:00,1
2019-09-14 19:26:00,1
2019-09-14 19:27:00,2
2019-09-14 19:29:00,1
2019-09-14 19:31:00,1
2019-09-14 19:35:00,2
2019-09-14 19:36:00,1
2019-09-14 19:37:00,2
2019-09-14 19:38:00,2
2019-09-14 19:52:00,1
2019-09-14 19:53:00,3
2019-09-14 19:54:00,2
2019-09-14 19:55:00,2
2019-09-14 19:56:00,1
2019-09-14 19:57:00,2
2019-09-14 20:01:00,1
2019-09-14 20:02:00,1
2019-09-14 20:03:00,1
