179,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-09-14 14:05:00,1
2019-09-14 14:08:00,1
2019-09-14 14:09:00,1
2019-09-14 14:16:00,1
2019-09-14 14:18:00,1
2019-09-14 14:20:00,1
2019-09-14 14:22:00,1
2019-09-14 14:23:00,1
2019-09-14 14:26:00,1
2019-09-14 14:27:00,1
2019-09-14 14:28:00,1
2019-09-14 14:30:00,1
2019-09-14 14:34:00,1
2019-09-14 14:35:00,1
2019-09-14 14:36:00,3
2019-09-14 14:43:00,1
2019-09-14 14:45:00,1
2019-09-14 14:47:00,2
2019-09-14 14:50:00,1
2019-09-14 14:51:00,1
2019-09-14 14:56:00,1
2019-09-14 14:58:00,1
2019-09-14 15:00:00,1
2019-09-14 15:03:00,1
2019-09-14 15:04:00,1
2019-09-14 15:05:00,1
2019-09-14 15:09:00,1
2019-09-14 15:10:00,1
2019-09-14 15:12:00,1
2019-09-14 15:14:00,1
2019-09-14 15:15:00,1
2019-09-14 15:18:00,2
2019-09-14 15:21:00,1
2019-09-14 15:23:00,1
2019-09-14 15:25:00,2
2019-09-14 15:28:00,1
2019-09-14 15:32:00,2
2019-09-14 15:33:00,1
2019-09-14 15:36:00,1
2019-09-14 15:40:00,3
2019-09-14 15:44:00,1
2019-09-14 15:47:00,2
2019-09-14 15:50:00,1
2019-09-14 15:53:00,2
2019-09-14 15:54:00,1
2019-09-14 15:58:00,2
2019-09-14 15:59:00,1
2019-09-14 16:00:00,1
2019-09-14 16:04:00,1
2019-09-14 16:05:00,1
2019-09-14 16:08:00,1
2019-09-14 16:16:00,1
2019-09-14 16:18:00,2
2019-09-14 16:19:00,1
2019-09-14 16:21:00,1
2019-09-14 16:25:00,2
2019-09-14 16:26:00,1
2019-09-14 16:27:00,1
2019-09-14 16:28:00,1
2019-09-14 16:30:00,1
2019-09-14 16:33:00,1
2019-09-14 16:35:00,1
2019-09-14 16:37:00,1
2019-09-14 16:39:00,1
2019-09-14 16:42:00,1
2019-09-14 16:43:00,1
2019-09-14 16:45:00,1
2019-09-14 16:47:00,1
2019-09-14 16:49:00,1
2019-09-14 16:53:00,1
2019-09-14 16:56:00,1
2019-09-14 16:57:00,1
2019-09-14 17:00:00,1
2019-09-14 17:02:00,1
2019-09-14 17:03:00,1
2019-09-14 17:05:00,1
2019-09-14 17:07:00,1
2019-09-14 17:09:00,1
2019-09-14 17:11:00,1
2019-09-14 17:13:00,1
2019-09-14 17:15:00,1
2019-09-14 17:17:00,1
2019-09-14 17:20:00,1
2019-09-14 17:21:00,1
2019-09-14 17:24:00,1
2019-09-14 17:25:00,1
2019-09-14 17:26:00,1
2019-09-14 17:27:00,1
2019-09-14 17:29:00,1
2019-09-14 17:30:00,1
2019-09-14 17:34:00,1
2019-09-14 17:35:00,1
2019-09-14 17:36:00,1
2019-09-14 17:38:00,1
2019-09-14 17:40:00,1
2019-09-14 17:43:00,1
2019-09-14 17:44:00,1
2019-09-14 17:47:00,1
2019-09-14 17:48:00,1
2019-09-14 17:49:00,1
2019-09-14 17:51:00,1
2019-09-14 17:52:00,1
2019-09-14 17:54:00,1
2019-09-14 17:55:00,1
2019-09-14 17:56:00,1
2019-09-14 17:57:00,1
2019-09-14 18:02:00,1
2019-09-14 18:04:00,1
2019-09-14 18:05:00,1
2019-09-14 18:07:00,1
2019-09-14 18:12:00,1
2019-09-14 18:14:00,1
2019-09-14 18:18:00,1
2019-09-14 18:20:00,1
2019-09-14 18:21:00,1
2019-09-14 18:22:00,1
2019-09-14 18:23:00,1
2019-09-14 18:25:00,1
2019-09-14 18:26:00,1
2019-09-14 18:28:00,2
2019-09-14 18:29:00,1
2019-09-14 18:31:00,2
2019-09-14 18:32:00,1
2019-09-14 18:33:00,1
2019-09-14 18:38:00,1
2019-09-14 18:40:00,1
2019-09-14 18:43:00,1
2019-09-14 18:47:00,1
2019-09-14 18:49:00,1
2019-09-14 18:53:00,1
2019-09-14 18:55:00,1
2019-09-14 18:58:00,1
2019-09-14 19:00:00,1
2019-09-14 19:05:00,1
2019-09-14 19:06:00,1
2019-09-14 19:08:00,1
2019-09-14 19:10:00,1
2019-09-14 19:11:00,1
2019-09-14 19:12:00,1
2019-09-14 19:13:00,2
2019-09-14 19:15:00,1
2019-09-14 19:19:00,2
2019-09-14 19:20:00,1
2019-09-14 19:21:00,1
2019-09-14 19:22:00,1
2019-09-14 19:25:00,1
2019-09-14 19:27:00,1
2019-09-14 19:30:00,1
2019-09-14 19:32:00,1
2019-09-14 19:35:00,2
2019-09-14 19:38:00,1
2019-09-14 19:41:00,1
2019-09-14 19:43:00,1
2019-09-14 19:46:00,1
2019-09-14 19:48:00,1
2019-09-14 19:50:00,1
2019-09-14 19:54:00,1
2019-09-14 19:57:00,1
2019-09-14 19:59:00,1
2019-09-14 20:01:00,1
2019-09-14 20:02:00,1
