273,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-25 02:25:00,5
2019-01-25 02:28:00,6
2019-01-25 02:32:00,2
2019-01-25 02:33:00,2
2019-01-25 02:43:00,5
2019-01-25 02:46:00,6
2019-01-25 02:50:00,2
2019-01-25 02:51:00,3
2019-01-25 02:55:00,2
2019-01-25 02:58:00,2
2019-01-25 03:01:00,2
2019-01-25 03:04:00,2
2019-01-25 03:09:00,2
2019-01-25 03:13:00,2
2019-01-25 03:18:00,1
2019-01-25 03:19:00,1
2019-01-25 03:21:00,3
2019-01-25 03:25:00,2
2019-01-25 03:27:00,2
2019-01-25 03:30:00,2
2019-01-25 03:32:00,2
2019-01-25 03:37:00,1
2019-01-25 03:39:00,2
2019-01-25 03:43:00,2
2019-01-25 03:44:00,2
2019-01-25 03:46:00,4
2019-01-25 03:50:00,1
2019-01-25 03:53:00,2
2019-01-25 03:54:00,2
2019-01-25 03:56:00,2
2019-01-25 03:57:00,2
2019-01-25 04:00:00,2
2019-01-25 04:01:00,2
2019-01-25 04:04:00,4
2019-01-25 04:07:00,4
2019-01-25 04:10:00,2
2019-01-25 04:12:00,3
2019-01-25 04:15:00,2
2019-01-25 04:17:00,2
2019-01-25 04:18:00,2
2019-01-25 04:19:00,2
2019-01-25 04:21:00,2
2019-01-25 04:24:00,3
2019-01-25 04:29:00,2
2019-01-25 04:41:00,4
2019-01-25 04:43:00,4
2019-01-25 04:46:00,2
2019-01-25 04:47:00,2
2019-01-25 04:50:00,2
2019-01-25 04:55:00,2
2019-01-25 04:57:00,2
2019-01-25 04:58:00,2
2019-01-25 04:59:00,2
2019-01-25 05:02:00,3
2019-01-25 05:06:00,2
2019-01-25 05:10:00,2
2019-01-25 05:12:00,4
2019-01-25 05:14:00,2
2019-01-25 05:16:00,2
2019-01-25 05:17:00,1
2019-01-25 05:21:00,2
2019-01-25 05:27:00,4
2019-01-25 05:29:00,2
2019-01-25 05:30:00,2
2019-01-25 05:32:00,2
2019-01-25 05:34:00,2
2019-01-25 05:36:00,2
2019-01-25 06:20:00,3
2019-01-25 06:22:00,2
2019-01-25 06:23:00,1
2019-01-25 06:24:00,3
2019-01-25 06:26:00,2
2019-01-25 06:27:00,2
2019-01-25 06:32:00,3
2019-01-25 06:34:00,2
2019-01-25 06:35:00,3
2019-01-25 06:37:00,3
2019-01-25 06:39:00,5
2019-01-25 06:43:00,2
2019-01-25 06:49:00,2
2019-01-25 06:50:00,2
2019-01-25 06:51:00,2
2019-01-25 06:52:00,2
2019-01-25 06:55:00,2
2019-01-25 06:56:00,1
2019-01-25 06:59:00,2
2019-01-25 07:04:00,2
2019-01-25 07:05:00,2
2019-01-25 07:06:00,2
2019-01-25 07:07:00,2
2019-01-25 07:10:00,3
2019-01-25 07:14:00,2
2019-01-25 07:33:00,4
2019-01-25 07:36:00,4
2019-01-25 07:39:00,2
2019-01-25 07:40:00,2
2019-01-25 07:43:00,2
2019-01-25 07:49:00,2
2019-01-25 07:50:00,2
2019-01-25 07:52:00,2
2019-01-25 07:53:00,2
2019-01-25 07:56:00,3
2019-01-25 08:00:00,2
2019-01-25 08:05:00,2
2019-01-25 08:06:00,2
2019-01-25 08:07:00,2
2019-01-25 08:09:00,2
2019-01-25 08:11:00,2
2019-01-25 08:12:00,1
2019-01-25 08:15:00,2
2019-01-25 09:14:00,4
2019-01-25 09:16:00,4
2019-01-25 09:19:00,2
2019-01-25 09:20:00,2
2019-01-25 09:23:00,2
