219238,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-01-25 00:00:00,318
2019-01-25 00:01:00,271
2019-01-25 00:02:00,200
2019-01-25 00:03:00,361
2019-01-25 00:04:00,404
2019-01-25 00:05:00,344
2019-01-25 00:06:00,315
2019-01-25 00:07:00,344
2019-01-25 00:08:00,442
2019-01-25 00:09:00,346
2019-01-25 00:10:00,351
2019-01-25 00:11:00,382
2019-01-25 00:12:00,338
2019-01-25 00:13:00,340
2019-01-25 00:14:00,359
2019-01-25 00:15:00,367
2019-01-25 00:16:00,324
2019-01-25 00:17:00,373
2019-01-25 00:18:00,305
2019-01-25 00:19:00,384
2019-01-25 00:20:00,222
2019-01-25 00:21:00,270
2019-01-25 00:22:00,316
2019-01-25 00:23:00,320
2019-01-25 00:24:00,298
2019-01-25 00:25:00,274
2019-01-25 00:26:00,382
2019-01-25 00:27:00,289
2019-01-25 00:28:00,357
2019-01-25 00:29:00,200
2019-01-25 00:30:00,361
2019-01-25 00:31:00,337
2019-01-25 00:32:00,335
2019-01-25 00:33:00,284
2019-01-25 00:34:00,357
2019-01-25 00:35:00,334
2019-01-25 00:36:00,348
2019-01-25 00:37:00,124
2019-01-25 00:38:00,171
2019-01-25 00:39:00,296
2019-01-25 00:40:00,360
2019-01-25 00:41:00,195
2019-01-25 00:42:00,254
2019-01-25 00:43:00,360
2019-01-25 00:44:00,380
2019-01-25 00:45:00,406
2019-01-25 00:46:00,388
2019-01-25 00:47:00,380
2019-01-25 00:48:00,360
2019-01-25 00:49:00,357
2019-01-25 00:50:00,374
2019-01-25 00:51:00,294
2019-01-25 00:52:00,339
2019-01-25 00:53:00,287
2019-01-25 00:54:00,270
2019-01-25 00:55:00,370
2019-01-25 00:56:00,153
2019-01-25 00:57:00,179
2019-01-25 00:58:00,197
2019-01-25 00:59:00,4
2019-01-25 01:01:00,13
2019-01-25 01:02:00,365
2019-01-25 01:03:00,340
2019-01-25 01:04:00,82
2019-01-25 01:05:00,324
2019-01-25 01:06:00,407
2019-01-25 01:07:00,375
2019-01-25 01:08:00,308
2019-01-25 01:09:00,357
2019-01-25 01:10:00,170
2019-01-25 01:13:00,25
2019-01-25 01:14:00,242
2019-01-25 01:15:00,346
2019-01-25 01:16:00,244
2019-01-25 01:17:00,374
2019-01-25 01:18:00,364
2019-01-25 01:19:00,382
2019-01-25 01:20:00,369
2019-01-25 01:21:00,321
2019-01-25 01:22:00,356
2019-01-25 01:23:00,400
2019-01-25 01:24:00,374
2019-01-25 01:25:00,333
2019-01-25 01:26:00,163
2019-01-25 01:28:00,18
2019-01-25 01:29:00,235
2019-01-25 01:30:00,18
2019-01-25 01:31:00,74
2019-01-25 01:32:00,362
2019-01-25 01:33:00,152
2019-01-25 01:34:00,3
2019-01-25 01:36:00,172
2019-01-25 01:37:00,364
2019-01-25 01:38:00,158
2019-01-25 01:39:00,332
2019-01-25 01:40:00,251
2019-01-25 01:42:00,197
2019-01-25 01:43:00,420
2019-01-25 01:44:00,164
2019-01-25 01:45:00,259
2019-01-25 01:46:00,334
2019-01-25 01:47:00,283
2019-01-25 01:48:00,381
2019-01-25 01:49:00,320
2019-01-25 01:50:00,307
2019-01-25 01:51:00,323
2019-01-25 01:52:00,350
2019-01-25 01:53:00,297
2019-01-25 01:54:00,424
2019-01-25 01:55:00,340
2019-01-25 01:56:00,265
2019-01-25 01:57:00,246
2019-01-25 01:58:00,348
2019-01-25 01:59:00,403
2019-01-25 02:00:00,412
2019-01-25 02:01:00,378
2019-01-25 02:02:00,303
2019-01-25 02:03:00,362
2019-01-25 02:04:00,296
2019-01-25 02:05:00,363
2019-01-25 02:06:00,352
2019-01-25 02:07:00,365
2019-01-25 02:08:00,331
2019-01-25 02:09:00,349
2019-01-25 02:10:00,271
2019-01-25 02:11:00,373
2019-01-25 02:12:00,267
2019-01-25 02:13:00,373
2019-01-25 02:14:00,276
2019-01-25 02:17:00,169
2019-01-25 02:18:00,355
2019-01-25 02:19:00,215
2019-01-25 02:20:00,235
2019-01-25 02:21:00,355
2019-01-25 02:22:00,345
2019-01-25 02:23:00,346
2019-01-25 02:24:00,410
2019-01-25 02:25:00,350
2019-01-25 02:26:00,315
2019-01-25 02:27:00,372
2019-01-25 02:28:00,394
2019-01-25 02:29:00,367
2019-01-25 02:30:00,297
2019-01-25 02:31:00,268
2019-01-25 02:32:00,323
2019-01-25 02:33:00,176
2019-01-25 02:34:00,56
2019-01-25 02:35:00,309
2019-01-25 02:36:00,372
2019-01-25 02:37:00,355
2019-01-25 02:38:00,275
2019-01-25 02:40:00,275
2019-01-25 02:41:00,13
2019-01-25 02:44:00,297
2019-01-25 02:45:00,326
2019-01-25 02:46:00,486
2019-01-25 02:47:00,360
2019-01-25 02:48:00,293
2019-01-25 02:49:00,235
2019-01-25 02:50:00,303
2019-01-25 02:51:00,412
2019-01-25 02:52:00,427
2019-01-25 02:53:00,377
2019-01-25 02:54:00,228
2019-01-25 02:55:00,251
2019-01-25 02:56:00,427
2019-01-25 02:57:00,392
2019-01-25 02:58:00,387
2019-01-25 02:59:00,401
2019-01-25 03:00:00,325
2019-01-25 03:01:00,397
2019-01-25 03:02:00,149
2019-01-25 03:03:00,436
2019-01-25 03:04:00,170
2019-01-25 03:05:00,310
2019-01-25 03:06:00,84
2019-01-25 03:07:00,343
2019-01-25 03:08:00,169
2019-01-25 03:09:00,132
2019-01-25 03:10:00,259
2019-01-25 03:11:00,126
2019-01-25 03:12:00,392
2019-01-25 03:13:00,441
2019-01-25 03:14:00,376
2019-01-25 03:15:00,406
2019-01-25 03:16:00,460
2019-01-25 03:17:00,362
2019-01-25 03:18:00,396
2019-01-25 03:19:00,404
2019-01-25 03:20:00,456
2019-01-25 03:21:00,371
2019-01-25 03:22:00,238
2019-01-25 03:23:00,362
2019-01-25 03:24:00,368
2019-01-25 03:25:00,379
2019-01-25 03:26:00,448
2019-01-25 03:27:00,424
2019-01-25 03:28:00,388
2019-01-25 03:29:00,380
2019-01-25 03:30:00,372
2019-01-25 03:31:00,443
2019-01-25 03:32:00,444
2019-01-25 03:33:00,368
2019-01-25 03:34:00,382
2019-01-25 03:35:00,394
2019-01-25 03:36:00,390
2019-01-25 03:37:00,369
2019-01-25 03:38:00,477
2019-01-25 03:39:00,399
2019-01-25 03:40:00,415
2019-01-25 03:41:00,379
2019-01-25 03:42:00,348
2019-01-25 03:43:00,356
2019-01-25 03:44:00,427
2019-01-25 03:45:00,390
2019-01-25 03:46:00,398
2019-01-25 03:47:00,418
2019-01-25 03:48:00,372
2019-01-25 03:49:00,377
2019-01-25 03:50:00,474
2019-01-25 03:51:00,380
2019-01-25 03:53:00,143
2019-01-25 03:54:00,354
2019-01-25 03:55:00,380
2019-01-25 03:56:00,408
2019-01-25 03:57:00,468
2019-01-25 03:58:00,236
2019-01-25 03:59:00,388
2019-01-25 04:00:00,423
2019-01-25 04:01:00,402
2019-01-25 04:02:00,364
2019-01-25 04:03:00,409
2019-01-25 04:04:00,225
2019-01-25 04:05:00,211
2019-01-25 04:06:00,248
2019-01-25 04:07:00,383
2019-01-25 04:08:00,457
2019-01-25 04:09:00,328
2019-01-25 04:10:00,249
