163,"SELECT floor(ra/#)*#, count(*) from GalaxyTag WHERE ra BETWEEN # AND # group by floor(ra/#)*# order by floor(ra/#)*#"
2019-01-25 18:45:00,10
2019-01-25 18:46:00,1
2019-01-25 18:47:00,2
2019-01-25 18:48:00,1
2019-01-25 18:50:00,1
2019-01-25 18:53:00,6
2019-01-25 18:54:00,4
2019-01-25 18:57:00,19
2019-01-25 18:58:00,12
2019-01-25 18:59:00,32
2019-01-25 19:00:00,49
2019-01-25 19:01:00,26
