97295,select fieldid from field where skyslope_r between # and # and medianpsfcolor_r between # and #
2019-01-25 00:06:00,29
2019-01-25 00:22:00,98
2019-01-25 00:25:00,11
2019-01-25 00:26:00,2
2019-01-25 00:27:00,90
2019-01-25 00:28:00,45
2019-01-25 00:29:00,210
2019-01-25 00:32:00,10
2019-01-25 00:33:00,118
2019-01-25 00:35:00,33
2019-01-25 00:36:00,49
2019-01-25 00:37:00,186
2019-01-25 00:38:00,57
2019-01-25 00:41:00,26
2019-01-25 00:42:00,45
2019-01-25 00:51:00,10
2019-01-25 00:53:00,14
2019-01-25 00:54:00,39
2019-01-25 00:58:00,132
2019-01-25 00:59:00,495
2019-01-25 01:00:00,383
2019-01-25 01:01:00,372
2019-01-25 01:02:00,7
2019-01-25 01:03:00,22
2019-01-25 01:04:00,205
2019-01-25 01:10:00,55
2019-01-25 01:13:00,4
2019-01-25 01:14:00,77
2019-01-25 01:15:00,16
2019-01-25 01:29:00,117
2019-01-25 01:30:00,338
2019-01-25 01:31:00,249
2019-01-25 01:33:00,242
2019-01-25 01:34:00,358
2019-01-25 01:35:00,435
2019-01-25 01:36:00,211
2019-01-25 01:40:00,5
2019-01-25 01:44:00,181
2019-01-25 01:47:00,12
2019-01-25 01:49:00,12
2019-01-25 01:57:00,16
2019-01-25 02:11:00,13
2019-01-25 02:14:00,113
2019-01-25 02:15:00,357
2019-01-25 02:16:00,375
2019-01-25 02:17:00,250
2019-01-25 02:19:00,59
2019-01-25 02:20:00,97
2019-01-25 02:21:00,6
2019-01-25 02:26:00,15
2019-01-25 02:27:00,9
2019-01-25 02:33:00,70
2019-01-25 02:49:00,28
2019-01-25 02:57:00,15
2019-01-25 02:58:00,5
2019-01-25 03:02:00,220
2019-01-25 03:04:00,223
2019-01-25 03:05:00,82
2019-01-25 03:10:00,42
2019-01-25 03:11:00,12
2019-01-25 03:12:00,4
2019-01-25 03:13:00,33
2019-01-25 03:21:00,54
2019-01-25 03:24:00,47
2019-01-25 03:42:00,36
2019-01-25 03:46:00,71
2019-01-25 03:49:00,12
2019-01-25 03:50:00,8
2019-01-25 03:51:00,86
2019-01-25 03:52:00,444
2019-01-25 03:53:00,247
2019-01-25 03:55:00,7
2019-01-25 03:56:00,6
2019-01-25 04:03:00,5
2019-01-25 04:05:00,4
2019-01-25 04:06:00,27
2019-01-25 04:07:00,15
2019-01-25 04:08:00,14
2019-01-25 04:10:00,14
2019-01-25 04:11:00,39
2019-01-25 04:12:00,14
2019-01-25 04:13:00,46
2019-01-25 04:14:00,11
2019-01-25 04:17:00,163
2019-01-25 04:18:00,317
2019-01-25 04:19:00,422
2019-01-25 04:20:00,467
2019-01-25 04:21:00,464
2019-01-25 04:22:00,216
2019-01-25 04:24:00,5
2019-01-25 04:42:00,123
2019-01-25 04:45:00,26
2019-01-25 04:52:00,92
2019-01-25 04:54:00,48
2019-01-25 04:55:00,47
2019-01-25 04:56:00,12
2019-01-25 04:59:00,24
2019-01-25 05:00:00,3
2019-01-25 05:03:00,27
2019-01-25 05:04:00,40
2019-01-25 05:05:00,370
2019-01-25 05:06:00,141
2019-01-25 05:08:00,22
2019-01-25 05:09:00,7
2019-01-25 05:10:00,2
2019-01-25 05:12:00,254
2019-01-25 05:13:00,471
2019-01-25 05:14:00,140
2019-01-25 05:15:00,95
2019-01-25 05:16:00,56
2019-01-25 05:27:00,97
2019-01-25 05:41:00,3
2019-01-25 05:50:00,10
2019-01-25 05:51:00,6
2019-01-25 05:52:00,115
2019-01-25 05:53:00,4
2019-01-25 05:56:00,46
2019-01-25 05:57:00,1
2019-01-25 06:00:00,57
2019-01-25 06:07:00,152
2019-01-25 06:08:00,129
2019-01-25 06:11:00,140
2019-01-25 06:12:00,380
2019-01-25 06:13:00,421
2019-01-25 06:14:00,394
2019-01-25 06:15:00,491
2019-01-25 06:16:00,201
2019-01-25 06:20:00,104
2019-01-25 06:22:00,87
2019-01-25 06:23:00,8
2019-01-25 06:56:00,20
2019-01-25 06:59:00,2
2019-01-25 07:00:00,4
2019-01-25 07:28:00,14
2019-01-25 07:29:00,6
2019-01-25 07:36:00,8
2019-01-25 07:40:00,17
2019-01-25 07:49:00,18
2019-01-25 07:50:00,32
2019-01-25 07:51:00,10
2019-01-25 07:52:00,5
2019-01-25 08:10:00,1
2019-01-25 08:18:00,68
2019-01-25 08:19:00,186
2019-01-25 08:20:00,377
2019-01-25 08:21:00,367
2019-01-25 08:22:00,408
2019-01-25 08:23:00,194
2019-01-25 08:24:00,140
2019-01-25 08:25:00,343
2019-01-25 08:26:00,335
2019-01-25 08:27:00,192
2019-01-25 08:28:00,390
2019-01-25 08:29:00,382
2019-01-25 08:30:00,364
2019-01-25 08:31:00,316
2019-01-25 08:32:00,197
2019-01-25 08:33:00,406
2019-01-25 08:34:00,455
2019-01-25 08:35:00,356
2019-01-25 08:36:00,102
2019-01-25 08:37:00,25
2019-01-25 08:38:00,25
2019-01-25 08:39:00,50
2019-01-25 08:40:00,45
2019-01-25 08:41:00,34
2019-01-25 08:42:00,42
2019-01-25 08:43:00,31
2019-01-25 08:44:00,42
