4498,select fieldid from field where a_g between # and # and skyframes_g between # and #
2019-01-25 00:00:00,11
2019-01-25 00:01:00,5
2019-01-25 00:37:00,4
2019-01-25 01:08:00,3
2019-01-25 01:10:00,16
2019-01-25 01:11:00,40
2019-01-25 01:12:00,37
2019-01-25 01:13:00,36
2019-01-25 01:14:00,2
2019-01-25 01:21:00,11
2019-01-25 01:26:00,13
2019-01-25 01:27:00,45
2019-01-25 01:28:00,35
2019-01-25 01:29:00,8
2019-01-25 01:39:00,21
2019-01-25 01:40:00,8
2019-01-25 01:41:00,43
2019-01-25 01:42:00,13
2019-01-25 01:46:00,3
2019-01-25 01:47:00,26
2019-01-25 01:48:00,5
2019-01-25 01:49:00,23
2019-01-25 01:50:00,4
2019-01-25 01:51:00,9
2019-01-25 01:55:00,14
2019-01-25 01:56:00,7
2019-01-25 02:19:00,1
2019-01-25 02:20:00,2
2019-01-25 02:21:00,10
2019-01-25 02:38:00,14
2019-01-25 02:39:00,44
2019-01-25 02:40:00,13
2019-01-25 02:41:00,39
2019-01-25 02:42:00,35
2019-01-25 02:43:00,36
2019-01-25 02:44:00,14
2019-01-25 02:45:00,68
2019-01-25 02:46:00,2
2019-01-25 02:48:00,31
2019-01-25 02:49:00,23
2019-01-25 02:50:00,24
2019-01-25 02:55:00,1
2019-01-25 03:05:00,2
2019-01-25 03:06:00,4
2019-01-25 03:07:00,4
2019-01-25 03:10:00,78
2019-01-25 03:11:00,22
2019-01-25 03:43:00,3
2019-01-25 03:44:00,5
2019-01-25 03:45:00,6
2019-01-25 03:46:00,6
2019-01-25 03:47:00,16
2019-01-25 03:48:00,3
2019-01-25 04:01:00,16
2019-01-25 04:02:00,44
2019-01-25 04:06:00,38
2019-01-25 04:10:00,7
2019-01-25 04:14:00,7
2019-01-25 04:15:00,13
2019-01-25 04:24:00,18
2019-01-25 04:25:00,1
2019-01-25 04:38:00,2
2019-01-25 04:39:00,22
2019-01-25 04:40:00,22
2019-01-25 04:41:00,16
2019-01-25 04:42:00,4
2019-01-25 04:43:00,27
2019-01-25 04:44:00,14
2019-01-25 04:45:00,21
2019-01-25 04:50:00,47
2019-01-25 04:51:00,41
2019-01-25 04:52:00,16
2019-01-25 04:53:00,72
2019-01-25 04:54:00,64
2019-01-25 04:55:00,50
2019-01-25 05:01:00,28
2019-01-25 05:02:00,28
2019-01-25 05:03:00,31
2019-01-25 05:08:00,1
2019-01-25 05:15:00,2
2019-01-25 05:16:00,16
2019-01-25 05:17:00,19
2019-01-25 05:27:00,3
2019-01-25 05:38:00,3
2019-01-25 05:39:00,3
2019-01-25 05:40:00,21
2019-01-25 05:41:00,9
2019-01-25 05:43:00,21
2019-01-25 05:44:00,1
2019-01-25 05:47:00,36
2019-01-25 05:48:00,26
2019-01-25 05:51:00,25
2019-01-25 05:52:00,44
2019-01-25 05:53:00,30
2019-01-25 06:11:00,1
2019-01-25 06:17:00,26
2019-01-25 06:19:00,1
2019-01-25 06:22:00,16
2019-01-25 06:25:00,33
2019-01-25 06:26:00,37
2019-01-25 06:27:00,1
2019-01-25 06:29:00,19
2019-01-25 06:30:00,50
2019-01-25 06:31:00,43
2019-01-25 06:32:00,39
2019-01-25 06:33:00,7
2019-01-25 06:34:00,52
2019-01-25 06:35:00,14
2019-01-25 06:36:00,37
2019-01-25 06:37:00,30
2019-01-25 06:38:00,32
2019-01-25 06:39:00,28
2019-01-25 06:40:00,43
2019-01-25 06:41:00,40
2019-01-25 06:42:00,29
2019-01-25 06:43:00,26
2019-01-25 06:44:00,35
