94,select fieldid from field where skyslope_r between # and # and medianpsfcolor_r between .# and .#
2019-01-25 00:29:00,2
2019-01-25 00:33:00,1
2019-01-25 00:53:00,1
2019-01-25 02:16:00,1
2019-01-25 02:49:00,1
2019-01-25 03:02:00,2
2019-01-25 03:13:00,5
2019-01-25 03:51:00,1
2019-01-25 04:12:00,1
2019-01-25 04:21:00,4
2019-01-25 04:22:00,1
2019-01-25 05:05:00,1
2019-01-25 06:11:00,1
2019-01-25 08:19:00,6
2019-01-25 08:20:00,11
2019-01-25 08:21:00,1
2019-01-25 14:44:00,2
2019-01-25 15:21:00,2
2019-01-25 15:22:00,1
2019-01-25 15:23:00,1
2019-01-25 15:44:00,2
2019-01-25 16:18:00,2
2019-01-25 16:19:00,1
2019-01-25 16:32:00,1
2019-01-25 16:33:00,4
2019-01-25 16:36:00,3
2019-01-25 16:37:00,3
2019-01-25 16:38:00,4
2019-01-25 16:40:00,1
2019-01-25 16:41:00,3
2019-01-25 16:42:00,6
2019-01-25 17:07:00,5
2019-01-25 17:08:00,2
2019-01-25 17:10:00,2
2019-01-25 17:11:00,8
2019-01-25 17:12:00,1
