720,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-01-25 00:16:00,42
2019-01-25 02:07:00,42
2019-01-25 02:43:00,60
2019-01-25 02:45:00,42
2019-01-25 02:49:00,18
2019-01-25 03:10:00,84
2019-01-25 04:27:00,42
2019-01-25 06:39:00,18
2019-01-25 07:47:00,42
2019-01-25 09:03:00,42
2019-01-25 09:55:00,39
2019-01-25 09:56:00,3
2019-01-25 11:27:00,18
2019-01-25 12:35:00,42
2019-01-25 18:34:00,8
2019-01-25 18:35:00,34
2019-01-25 20:03:00,18
2019-01-25 20:36:00,42
2019-01-25 22:01:00,42
2019-01-25 23:57:00,42
