2849,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-01-25 00:00:00,11
2019-01-25 00:01:00,16
2019-01-25 00:02:00,22
2019-01-25 00:03:00,2
2019-01-25 00:16:00,16
2019-01-25 00:24:00,20
2019-01-25 00:25:00,23
2019-01-25 00:30:00,1
2019-01-25 00:31:00,2
2019-01-25 00:32:00,6
2019-01-25 00:34:00,1
2019-01-25 00:35:00,5
2019-01-25 00:37:00,4
2019-01-25 00:38:00,25
2019-01-25 00:39:00,46
2019-01-25 00:41:00,184
2019-01-25 00:42:00,32
2019-01-25 00:51:00,29
2019-01-25 00:52:00,99
2019-01-25 00:53:00,50
2019-01-25 00:54:00,63
2019-01-25 00:56:00,31
2019-01-25 00:57:00,131
2019-01-25 01:10:00,1
2019-01-25 01:14:00,1
2019-01-25 01:18:00,5
2019-01-25 01:19:00,32
2019-01-25 01:22:00,2
2019-01-25 01:40:00,3
2019-01-25 01:42:00,1
2019-01-25 01:44:00,5
2019-01-25 01:45:00,8
2019-01-25 02:09:00,3
2019-01-25 02:10:00,8
2019-01-25 02:11:00,20
2019-01-25 02:12:00,3
2019-01-25 02:13:00,1
2019-01-25 02:17:00,8
2019-01-25 02:18:00,4
2019-01-25 02:19:00,11
2019-01-25 02:21:00,5
2019-01-25 02:22:00,5
2019-01-25 02:23:00,6
2019-01-25 02:24:00,13
2019-01-25 02:25:00,2
2019-01-25 02:29:00,4
2019-01-25 02:30:00,1
2019-01-25 02:31:00,70
2019-01-25 02:32:00,35
2019-01-25 02:33:00,6
2019-01-25 02:34:00,2
2019-01-25 02:35:00,18
2019-01-25 02:36:00,2
2019-01-25 02:49:00,20
2019-01-25 02:52:00,10
2019-01-25 02:53:00,15
2019-01-25 02:56:00,13
2019-01-25 02:57:00,1
2019-01-25 02:59:00,1
2019-01-25 03:00:00,15
2019-01-25 03:01:00,1
2019-01-25 03:11:00,4
2019-01-25 03:12:00,2
2019-01-25 03:13:00,5
2019-01-25 03:14:00,13
2019-01-25 03:21:00,9
2019-01-25 03:25:00,8
2019-01-25 03:37:00,5
2019-01-25 03:43:00,9
2019-01-25 04:03:00,14
2019-01-25 04:04:00,179
2019-01-25 04:05:00,151
2019-01-25 04:06:00,87
2019-01-25 04:07:00,2
2019-01-25 04:17:00,1
2019-01-25 04:26:00,5
2019-01-25 04:27:00,3
2019-01-25 04:28:00,9
2019-01-25 04:29:00,10
2019-01-25 04:30:00,9
2019-01-25 04:36:00,4
2019-01-25 04:40:00,6
2019-01-25 04:41:00,2
2019-01-25 04:44:00,3
2019-01-25 04:52:00,3
2019-01-25 04:55:00,6
2019-01-25 04:56:00,2
2019-01-25 04:59:00,6
2019-01-25 05:04:00,16
2019-01-25 05:09:00,4
2019-01-25 05:10:00,20
2019-01-25 05:18:00,7
2019-01-25 05:25:00,4
2019-01-25 05:26:00,19
2019-01-25 05:27:00,22
2019-01-25 05:35:00,3
2019-01-25 05:41:00,13
2019-01-25 05:42:00,32
2019-01-25 05:43:00,18
2019-01-25 05:44:00,39
2019-01-25 05:45:00,46
2019-01-25 05:46:00,9
2019-01-25 05:50:00,11
2019-01-25 06:00:00,5
2019-01-25 06:08:00,7
2019-01-25 06:09:00,2
2019-01-25 06:17:00,5
2019-01-25 06:18:00,12
2019-01-25 06:19:00,3
2019-01-25 06:21:00,7
2019-01-25 06:22:00,2
2019-01-25 06:23:00,1
2019-01-25 06:25:00,2
2019-01-25 06:27:00,1
2019-01-25 06:33:00,2
2019-01-25 06:39:00,5
2019-01-25 06:56:00,5
2019-01-25 07:40:00,3
2019-01-25 09:14:00,5
2019-01-25 09:32:00,3
2019-01-25 10:51:00,1
2019-01-25 11:36:00,5
2019-01-25 11:37:00,2
2019-01-25 12:48:00,1
2019-01-25 12:51:00,7
2019-01-25 12:52:00,2
2019-01-25 12:53:00,5
2019-01-25 12:55:00,1
2019-01-25 12:56:00,1
2019-01-25 12:58:00,1
2019-01-25 12:59:00,7
2019-01-25 13:02:00,1
2019-01-25 13:04:00,2
2019-01-25 13:09:00,2
2019-01-25 13:20:00,2
2019-01-25 13:29:00,3
2019-01-25 13:36:00,4
2019-01-25 13:40:00,1
2019-01-25 13:42:00,4
2019-01-25 13:45:00,9
2019-01-25 13:46:00,2
2019-01-25 13:48:00,9
2019-01-25 13:52:00,3
2019-01-25 13:53:00,4
2019-01-25 13:59:00,10
2019-01-25 14:03:00,3
2019-01-25 14:05:00,2
2019-01-25 14:06:00,1
2019-01-25 14:12:00,1
2019-01-25 14:19:00,1
2019-01-25 14:20:00,2
2019-01-25 14:23:00,1
2019-01-25 14:25:00,7
2019-01-25 14:26:00,2
2019-01-25 14:29:00,4
2019-01-25 14:31:00,4
2019-01-25 14:33:00,2
2019-01-25 14:34:00,2
2019-01-25 14:35:00,7
2019-01-25 14:36:00,1
2019-01-25 14:37:00,10
2019-01-25 14:38:00,1
2019-01-25 14:43:00,3
2019-01-25 14:47:00,5
2019-01-25 14:48:00,18
2019-01-25 14:52:00,5
2019-01-25 14:54:00,4
2019-01-25 14:55:00,2
2019-01-25 14:56:00,2
2019-01-25 14:58:00,6
2019-01-25 14:59:00,7
2019-01-25 15:00:00,12
2019-01-25 15:01:00,1
2019-01-25 15:02:00,10
2019-01-25 15:03:00,6
2019-01-25 15:05:00,5
2019-01-25 15:06:00,1
2019-01-25 15:07:00,7
2019-01-25 15:08:00,1
2019-01-25 15:09:00,1
2019-01-25 15:10:00,6
2019-01-25 15:11:00,19
2019-01-25 15:13:00,1
2019-01-25 15:14:00,4
2019-01-25 15:15:00,1
2019-01-25 15:18:00,5
2019-01-25 15:21:00,2
2019-01-25 15:22:00,2
2019-01-25 15:23:00,8
2019-01-25 15:24:00,10
2019-01-25 15:27:00,5
2019-01-25 15:30:00,3
2019-01-25 15:31:00,5
2019-01-25 15:32:00,18
2019-01-25 15:33:00,107
2019-01-25 15:34:00,7
2019-01-25 15:36:00,13
2019-01-25 15:37:00,4
2019-01-25 15:39:00,2
2019-01-25 15:40:00,48
2019-01-25 15:46:00,1
2019-01-25 15:50:00,5
2019-01-25 15:56:00,6
2019-01-25 15:58:00,1
2019-01-25 16:01:00,4
2019-01-25 16:03:00,7
2019-01-25 16:05:00,3
2019-01-25 16:07:00,3
2019-01-25 16:08:00,2
2019-01-25 16:09:00,4
