101,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, psffwhm_g, psffwhm_r, psffwhm_i, p.expRad_g, p.expRad_r, p.expRad_i, p.expAB_g, p.expAB_r, p.expAB_i, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.fiberFlux_g, p.fiberFlux_r, p.fiberFlux_i FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid=p.specobjid WHERE p.specobjid = #"
2019-01-25 04:02:00,1
2019-01-25 04:04:00,1
2019-01-25 04:05:00,2
2019-01-25 04:06:00,2
2019-01-25 04:07:00,1
2019-01-25 04:08:00,1
2019-01-25 04:09:00,3
2019-01-25 04:10:00,1
2019-01-25 04:11:00,2
2019-01-25 04:12:00,1
2019-01-25 04:13:00,2
2019-01-25 04:14:00,1
2019-01-25 04:15:00,2
2019-01-25 04:16:00,1
2019-01-25 04:17:00,2
2019-01-25 04:18:00,2
2019-01-25 04:19:00,1
2019-01-25 04:20:00,3
2019-01-25 04:21:00,1
2019-01-25 04:22:00,2
2019-01-25 04:23:00,2
2019-01-25 04:24:00,2
2019-01-25 04:25:00,2
2019-01-25 04:26:00,1
2019-01-25 04:27:00,2
2019-01-25 04:28:00,1
2019-01-25 04:29:00,2
2019-01-25 04:30:00,1
2019-01-25 04:31:00,2
2019-01-25 04:32:00,2
2019-01-25 04:33:00,1
2019-01-25 04:34:00,2
2019-01-25 04:35:00,1
2019-01-25 04:36:00,2
2019-01-25 04:37:00,1
2019-01-25 04:38:00,2
2019-01-25 04:39:00,1
2019-01-25 04:40:00,2
2019-01-25 04:41:00,1
2019-01-25 04:42:00,2
2019-01-25 04:43:00,2
2019-01-25 04:44:00,1
2019-01-25 04:45:00,1
2019-01-25 04:46:00,1
2019-01-25 04:47:00,2
2019-01-25 04:48:00,1
2019-01-25 04:49:00,2
2019-01-25 04:50:00,3
2019-01-25 04:51:00,2
2019-01-25 04:52:00,1
2019-01-25 04:53:00,3
2019-01-25 04:54:00,2
2019-01-25 04:55:00,1
2019-01-25 04:56:00,2
2019-01-25 04:57:00,1
2019-01-25 04:58:00,5
2019-01-25 04:59:00,2
2019-01-25 05:00:00,1
2019-01-25 05:01:00,2
2019-01-25 05:02:00,1
2019-01-25 05:03:00,1
