1603,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-25 07:41:00,5
2019-01-25 07:42:00,333
2019-01-25 07:43:00,335
2019-01-25 07:44:00,100
2019-01-25 07:45:00,82
2019-01-25 07:46:00,80
2019-01-25 07:47:00,52
2019-01-25 07:48:00,61
2019-01-25 07:49:00,39
2019-01-25 07:52:00,8
2019-01-25 08:19:00,52
2019-01-25 08:20:00,11
2019-01-25 09:13:00,7
2019-01-25 09:14:00,55
2019-01-25 09:22:00,118
2019-01-25 09:23:00,59
2019-01-25 12:44:00,107
2019-01-25 12:45:00,86
2019-01-25 12:58:00,13
