3938,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-01-25 10:16:00,1
2019-01-25 10:19:00,2
2019-01-25 10:20:00,1
2019-01-25 10:21:00,1
2019-01-25 10:22:00,1
2019-01-25 10:25:00,1
2019-01-25 10:32:00,1
2019-01-25 10:37:00,1
2019-01-25 10:41:00,7
2019-01-25 10:42:00,8
2019-01-25 10:43:00,9
2019-01-25 10:44:00,10
2019-01-25 10:45:00,8
2019-01-25 10:46:00,9
2019-01-25 10:47:00,8
2019-01-25 10:48:00,8
2019-01-25 10:49:00,8
2019-01-25 10:50:00,8
2019-01-25 10:51:00,9
2019-01-25 10:52:00,8
2019-01-25 10:53:00,8
2019-01-25 10:54:00,8
2019-01-25 10:55:00,8
2019-01-25 10:56:00,10
2019-01-25 10:57:00,4
2019-01-25 12:02:00,11
2019-01-25 12:03:00,22
2019-01-25 13:02:00,3
2019-01-25 13:03:00,7
2019-01-25 13:04:00,3
2019-01-25 13:05:00,9
2019-01-25 13:09:00,8
2019-01-25 13:10:00,3
2019-01-25 13:14:00,5
2019-01-25 13:15:00,1
2019-01-25 13:57:00,10
2019-01-25 13:58:00,12
2019-01-25 13:59:00,13
2019-01-25 14:00:00,13
2019-01-25 14:01:00,12
2019-01-25 14:02:00,13
2019-01-25 14:03:00,13
2019-01-25 14:04:00,12
2019-01-25 14:05:00,13
2019-01-25 14:06:00,13
2019-01-25 14:07:00,13
2019-01-25 14:08:00,12
2019-01-25 14:09:00,13
2019-01-25 14:10:00,13
2019-01-25 14:11:00,14
2019-01-25 14:12:00,13
2019-01-25 14:13:00,13
2019-01-25 14:14:00,12
2019-01-25 14:15:00,13
2019-01-25 14:16:00,12
2019-01-25 14:17:00,12
2019-01-25 14:18:00,13
2019-01-25 14:19:00,13
2019-01-25 14:20:00,13
2019-01-25 14:21:00,12
2019-01-25 14:22:00,13
2019-01-25 14:23:00,12
2019-01-25 14:24:00,14
2019-01-25 14:25:00,12
2019-01-25 14:26:00,12
2019-01-25 14:27:00,12
2019-01-25 14:28:00,11
2019-01-25 14:29:00,12
2019-01-25 14:30:00,12
2019-01-25 14:31:00,11
2019-01-25 14:32:00,12
