54,select fieldid from field where a_g between -.# and -.# and skyframes_g between # and #
2019-01-25 01:26:00,4
2019-01-25 01:28:00,1
2019-01-25 01:41:00,1
2019-01-25 01:56:00,2
2019-01-25 02:48:00,2
2019-01-25 03:10:00,3
2019-01-25 04:42:00,1
2019-01-25 04:44:00,1
2019-01-25 06:25:00,2
2019-01-25 06:26:00,1
2019-01-25 06:32:00,4
2019-01-25 06:38:00,3
2019-01-25 06:42:00,1
2019-01-25 06:43:00,2
2019-01-25 06:47:00,5
2019-01-25 06:54:00,3
2019-01-25 06:57:00,1
2019-01-25 06:58:00,1
2019-01-25 07:05:00,2
2019-01-25 07:07:00,2
2019-01-25 07:12:00,5
2019-01-25 07:14:00,1
2019-01-25 07:15:00,1
2019-01-25 07:16:00,1
2019-01-25 07:21:00,3
2019-01-25 10:12:00,1
